      male     female
       1.0        4.0 --         الرّاجلْ دا  مسْكيْنْ. 
       3.0        6.0 --         الرّاجلْ قصيّرْ وتخين. 
       3.0        6.0 --         الرّاجلْ مقْبوضْ عليْه. 
       3.0        6.0 --         الزهور في الزهرية! 
       3.0        3.0 --         الزّعلْ ما كْويّسْ. 
       1.0        4.0 --         الزّولْ دا ماله؟ 
       3.0        5.0 --         السباحة في النيل كويسة. 
       3.0        7.0 --         السخانْ شغالْ كويّس. 
       3.0        5.0 --         السعر حيزيدْ عنْ  جنيه. 
       1.0        4.0 --         السعر كمْ في الليْلة. 
       1.0        4.0 --         السلطاتْ فاسدهْ. 
       3.0        5.0 --         السلّمْ فيه سبعة درجاتْ. 
       3.0        3.0 --         السودان بخْتلف عن ..... 
       3.0        7.0 --         السّاعة ءرْبعة ءلّا خمْسة. 
       3.0        6.0 --         السّاعة تلاتة وعشر دقايق. 
       3.0        3.0 --         السّاعة تلاتة ونصْ. 
       3.0        5.0 --         السّاعة خمْسة وتلتْ. 
       3.0        6.0 --         السّاعة كمْ بالضّبطْ؟ 
       0.0        4.0 --         السّاعة كمْ؟ 
       3.0        5.0 --         السّاعة واحْدة ءلّا ربعْ. 
       3.0        5.0 --         السّجنْ  مصير الْمجرمين. 
       1.0        4.0 --         السّرْعة ما كْويْسة. 
       1.0        4.0 --         السّفر برة كويس. 
       3.0        3.0 --         السّكري بتاعي مرتفعْ. 
       3.0        7.0 --         السّكْتة الدّماغيّة خطرة. 
       3.0        5.0 --         السّلطة فيها عجّورْ. 
       3.0        6.0 --         السّنة فيها ءتْناشرْ شهرْ. 
       3.0        3.0 --         السّودان دوْلة مسْلمة. 
       3.0        6.0 --         السّودان في قارة ءفْريقيا. 
       3.0        7.0 --         السّيولْ والفيضاناتْ شديدة. 
       0.0        4.0 --         الشارع مليان موية. 
       0.0        4.0 --         الشبّاكْ فاتحْ. 
       3.0        5.0 --         الشتا ءحْسنْ من الصّيفْ. 
       3.0        5.0 --         الشتا بيبْدا في نوْفمْبرْ. 
       3.0        5.0 --         الشطنة في الرف التحتاني. 
       3.0        5.0 --         الشطنة في الرف الفوقاني! 
       3.0        5.0 --         الشقة غالية جدا. 
       3.0        4.0 --         الشنْطة  دي كبيرة. 
       3.0        3.0 --         الشنْطة ورا المقْعدْ. 
       3.0        5.0 --         الشوال دا وزنه تقيل. 
       0.0        4.0 --         الشيك دا ما مقْبول. 
       0.0        4.0 --         الشيّة سمْحة. 
       3.0        4.0 --         الشّارعْ فيه حادثْ. 
       3.0        5.0 --         الشّارعْ فيه دقْداقْ. 
       3.0        7.0 --         الشّارعْ مغطّى بالموية. 
       3.0        6.0 --         الشّارعْ مقْفولْ ولّا فاتحْ؟ 
       3.0        3.0 --         الشّارعْ ملْيان بالموْية. 
       3.0        6.0 --         الشّكيّة الكتيرة ما كْويْسة. 
       3.0        5.0 --         الشّمال كلّو صحْراء. 
       3.0        3.0 --         الشّمسْ حارّة الْليلة. 
       3.0        5.0 --         الصعود للطيارة مْتين؟ 
       3.0        6.0 --         الصندوقْ موجودْ في محلّهْ. 
       3.0        5.0 --         الصيدليْ صرفْ الدّوا. 
       3.0        7.0 --         الصّحّهْ النّفسيهْ مهمّه. 
       3.0        4.0 --         الصّيفْ هنا طويلْ. 
       3.0        4.0 --         الضيوفْ في الديوانْ. 
       3.0        5.0 --         الضيوفْ وصلوا. 
       3.0        5.0 --         الضّرْبهْ بسيطهْ. 
       3.0        2.0 --         الطالب احتجّ للمدير. 
       1.0        4.0 --         الطالبْ دا شاطرْ. 
       0.0        4.0 --         الطرد وصل؟ 
       1.0        4.0 --         الطعْمية شهية. 
       3.0        3.0 --         الطفلْ نامْ في العربية. 
       3.0        3.0 --         الطلب دا مصدّق؟ 
       3.0        5.0 --         الطيارة بدت الهبوط! 
       3.0        5.0 --         الطّابور يبْدا الصّباح. 
       3.0        5.0 --         الطّالبْ نام في الفصلْ. 
       3.0        2.0 --         الطّباعة دي سمْحة. 
       3.0        5.0 --         الطّبْلون ما انْضربْ. 
       1.0        4.0 --         الطّبْلونْ فاتحْ. 
       0.0        4.0 --         الطّقسْ باردْ. 
       3.0        5.0 --         الطّلبة ينْصرفوا متين؟ 
       1.0        4.0 --         الظاهرْ عليْك ما عارفْ. 
       0.0        4.0 --         العربية اتحركت. 
       3.0        6.0 --         العربية بتاعْتي غالية. 
       3.0        7.0 --         العربيهْ الْمفخخة لقوها. 
       3.0        5.0 --         العربيهْ بتْشيلْ النّاس ديل. 
       3.0        6.0 --         العربيهْ كانتْ ملغومهْ. 
       1.0        4.0 --         العربيّة مكيّفة. 
       3.0        5.0 --         العربيّهْ وحْلتْ في الطّينْ. 
       3.0        7.0 --         العرسْ الْخميس الجّايى. 
       3.0        5.0 --         العروسْ والعريس رجعوا. 
       3.0        5.0 --         العريس حيجي شهر تسعة. 
       1.0        4.0 --         العريسْ مبْسوط. 
       3.0        5.0 --         العزاء ءذاعوه ءمسْ. 
       0.0        4.0 --         العسْكري جا. 
       3.0        7.0 --         العلاقة الجّنْسيّة مقدّسة. 
       3.0        2.0 --         العنب فيه فايدة كبيرة. 
       3.0        6.0 --         العنوان مظبوط ميّة في الميّة. 
       3.0        5.0 --         العوم في الخور صعب. 
       3.0        6.0 --         العيادهْ في نفْس الْمبنىْ. 
       1.0        4.0 --         العيد الكبيرْ قرّبْ. 
       3.0        7.0 --         العيدْ يصادفْ ءولْ ءكْتوبرْ. 
       3.0        6.0 --         الغدا في المطْعمْ اليوْم. 
       3.0        5.0 --         الغلطانْ منو؟ 
       3.0        7.0 --         الفتْرة الءولى صعْبة. 
       1.0        4.0 --         الفسانْ دا لقْطة. 
       1.0        4.0 --         الفصل دا حيستمر. 
       0.0        4.0 --         الفصلْ واسعْ. 
       3.0        5.0 --         الفطورْ جاهزْ. 
       3.0        2.0 --         الفنْدق دا فخم. 
       3.0        7.0 --         الفنْدق فيه حوض سباحة. 
       3.0        5.0 --         الفنْدق قريبْ من البلْد. 
       3.0        5.0 --         الفنْدقْ فيه مسْبحْ. 
       3.0        3.0 --         الفواكه فوايدها كتيرة. 
       3.0        5.0 --         الفيديو دا محمّل من الءنترنت. 
       3.0        7.0 --         الفيلمْ دا عامْلينْ ليْه دعاية كبيْرة. 
       3.0        3.0 --         القراية عايزة وكت. 
       3.0        6.0 --         القروش في صندوق الءمانات. 
       3.0        3.0 --         القروشْ دي بتْكفيني. 
       3.0        5.0 --         القصّة دي كتبها منوْ؟ 
       3.0        5.0 --         القمامة في برميل الوساخة! 
       3.0        5.0 --         القميص حيعجبْ عمر. 
       0.0        4.0 --         القهْوة منْ البنْ. 
       1.0        4.0 --         الكراسي في الصالونْ. 
       0.0        4.0 --         الكلام دا مفْهوم؟ 
       0.0        4.0 --         الكلام ما مفْهوم. 
       0.0        4.0 --         الكلبْ حيوان وفي. 
       1.0        4.0 --         الكلبْ خرْبشْني. 
       3.0        7.0 --         الكهربة على حساب المءجّرْ. 
       0.0        4.0 --         اللبسة دي رهيبة. 
       1.0        4.0 --         اللبن دا حمّض. 
       3.0        5.0 --         اللحم برة التلاجة بْعفّن. 
       0.0        4.0 --         اللساتك جديدهْ. 
       3.0        7.0 --         الله عنْدهْ تسعة وتسْعين اسم. 
       3.0        2.0 --         الله لا جاب المصيبهْ. 
       0.0        4.0 --         الله لا جاب بليّة. 
       0.0        4.0 --         الله يحْفظكْ. 
       0.0        4.0 --         الله يخلّيك. 
       0.0        4.0 --         الله يخلّيكْ! 
       0.0        4.0 --         الله يدّيك العافية! 
       3.0        3.0 --         الله يسلّمكْ يا محْمود. 
       0.0        8.0 --         الله يسلّمكْ! 
       0.0        4.0 --         الله يسهّلْ عليْكْ! 
       1.0        4.0 --         الله يعوْضكْ! 
       0.0        4.0 --         الله يفرّحك. 
       0.0        4.0 --         الله يوفّقْنا. 
       3.0        6.0 --         الليلة ءستقبال الطلاب الجداد. 
       3.0        5.0 --         الليلة اسْتقْبالْ الطلّابْ. 
       3.0        5.0 --         الليلة المدرّس عمل مراجعة. 
       3.0        7.0 --         الليلهْ افْتتاحْ المطْعم الْجديد. 
       3.0        7.0 --         الليلهْ حيطْلعْ من الْمستشفى. 
       3.0        2.0 --         الليلهْ طرشْ مرّتينْ. 
       0.0        4.0 --         الليْلة عيدْ ميلادي. 
       1.0        4.0 --         الليْلة ماشي المدْرسة. 
       3.0        3.0 --         الليْلهْ مهرجان المنقة! 
       0.0        4.0 --         اللّمباتْ سالْمهْ. 
       3.0        3.0 --         اللّيْلة في ءجازة. 
       0.0        4.0 --         المءذون جا؟ 
       1.0        4.0 --         الماسورة انْسدّتْ. 
       3.0        6.0 --         المباراة عبْر الءقمار الصناعية. 
       3.0        6.0 --         المبْلغْ دا يكْفي جدّا. 
       3.0        3.0 --         المتقدّمين للوظيفة كم؟ 
       3.0        6.0 --         المجْتمعْ السّوداني طيّبْ. 
       3.0        4.0 --         المحلّاتْ مقفّلةْ. 
       3.0        7.0 --         المخدّرات مشْكلهْ كبيرهْ. 
       1.0        4.0 --         المخْتبرْ قافلْ. 
       1.0        4.0 --         المدرسة دي بنين وبنات. 
       1.0        4.0 --         المدير في ءجْتماع. 
       0.0        4.0 --         المدير ود عمْه. 
       3.0        5.0 --         المدْرسة بتْقدم فطور. 
       3.0        6.0 --         المدْرسة تفْتحْ في سبْتمْبرْ. 
       0.0        4.0 --         المرايهْ سالمهْ. 
       3.0        5.0 --         المرضْ يحْتاجْ لعلاجْ. 
       3.0        5.0 --         المرْوحة شغّالة. 
       3.0        2.0 --         المسافة قدرْ شنو؟ 
       0.0        4.0 --         المسافة قريبة. 
       0.0        4.0 --         المسافة ميْل. 
       3.0        6.0 --         المستشفىْ اتْملا ناسْ. 
       3.0        6.0 --         المشي هوايتي المفضّلة. 
       3.0        6.0 --         المطافي جنْبْ مكتب الحركة. 
       3.0        5.0 --         المطرة صابّة شديدْ. 
       3.0        6.0 --         المطرة عملت ضرر شديد. 
       3.0        5.0 --         المطرة في كلّ حتّة. 
       3.0        7.0 --         المطرْ بينْزلْ في الخريفْ. 
       3.0        7.0 --         المطْعمْ بيقْفلْ بعدْ شويّة. 
       1.0        4.0 --         المطْعمْ مفْتوحْ. 
       1.0        4.0 --         المعلومهْ دي مءكّدة؟ 
       3.0        7.0 --         المكنيكي ركّبْ لي القزاز! 
       0.0        4.0 --         المناسبة شنو؟ 
       3.0        3.0 --         المنْطقة دي بارْدة. 
       3.0        5.0 --         الموادْ قابْلة للءشْتعالْ. 
       3.0        5.0 --         الموبايلْ دا ما شغّالْ. 
       3.0        6.0 --         الموضوع دا عبارهْ عن لعْبهْ. 
       3.0        5.0 --         الموضوعْ دا مقصودْ. 
       3.0        6.0 --         الموضوعْ مقبولْ مهما يكونْ. 
       3.0        6.0 --         الموْضوعْ دا مخْتلفْ. 
       3.0        5.0 --         الموْضوعْ دا مسْتعْجل. 
       3.0        3.0 --         الموْضوعْ شنو؟ 
       3.0        7.0 --         الميدان على بعدْ كيلومتر من المدرسة. 
       0.0        4.0 --         الناسْ بتعاني كتيرْ. 
       3.0        2.0 --         النتيجة طلعت متين؟ 
       3.0        7.0 --         النقّاش شغال في الحيطة. 
       3.0        5.0 --         النّادي فيه صْالة ءلعاب. 
       3.0        3.0 --         النّاسْ ءتْلمّتْ هناك. 
       3.0        5.0 --         النّاسْ حاسّين ببهْجة. 
       3.0        5.0 --         النّعي مكْتوب في الجّريْدة. 
       3.0        7.0 --         النّورْ الطّويلْ شغّالْ. 
       0.0        4.0 --         الهلالْ حلّ؟ 
       3.0        6.0 --         الهلالْ غلب الْمرّيخْ. 
       3.0        5.0 --         الود بقْى كبيرْ. 
       3.0        7.0 --         الود ختّى القروشْ وينْ؟ 
       3.0        6.0 --         الولد حيعيد سنة ءولى. 
       3.0        5.0 --         الولد خلّص الواجب. 
       3.0        3.0 --         الولد مستواه اتحسّن. 
       1.0        4.0 --         الونسة معاكْ سمحة. 
       1.0        4.0 --         الونسة معْاك سمْحة. 
       1.0        4.0 --         اليوم الدراسي طويل. 
       3.0        2.0 --         اليوم كلّوْ ما طلعْت. 
       3.0        5.0 --         الْباسْبورتْ ساري المفْعول؟ 
       3.0        3.0 --         الْبصْ وقْته فاتْ. 
       3.0        7.0 --         الْبلد ضربها صاروخ. 
       3.0        3.0 --         الْبنْزيْنْ ولّعْ نارْ. 
       3.0        5.0 --         الْجريْ بنشّط الْجسمْ. 
       3.0        7.0 --         الْحاجاتْ تلْقاها فوقْ بعضْ. 
       1.0        4.0 --         الْحادثْ كانْ بسيطْ. 
       0.0        4.0 --         الْحاصلْ شنوْ؟ 
       3.0        3.0 --         الْحالة ما هدتْ شويّة؟ 
       3.0        6.0 --         الْحبوبْ خفّفتْ الْءلمْ. 
       3.0        7.0 --         الْحتتْ في السّوْقْ مقفّلةْ. 
       1.0        4.0 --         الْحتّاتْ  فاتْحةْ. 
       3.0        7.0 --         الْحرارة بتْزيد في الصّيفْ. 
       3.0        5.0 --         الْحرارة بين تلاتين وءرْبعين. 
       3.0        5.0 --         الْحرارة زايْدة شْويّة. 
       3.0        5.0 --         الْحرارة نازْلة شْويّة. 
       3.0        7.0 --         الْحرارةْ الْلّيْلةْ  منْخفْضةْ. 
       3.0        7.0 --         الْحرامي سرقْ منّهمْ قروشْ. 
       3.0        5.0 --         الْحرامي قبضوه. 
       0.0        4.0 --         الْحربْ قامتْ . 
       0.0        4.0 --         الْحصل شنو؟ 
       3.0        5.0 --         الْحمْد لله ما في مصيبة. 
       3.0        5.0 --         الْحمْد للّهْ ، ما في نزيفْ. 
       3.0        6.0 --         الْحّمّى نزلتْ. 
       3.0        5.0 --         الْخريطة دي قديمة. 
       3.0        3.0 --         الْقانونْ واضحْ. 
       3.0        4.0 --         الْكلامْ دا واضحْ؟ 
       3.0        7.0 --         الْكومْبْرسر شغال كويّس. 
       0.0        4.0 --         الْلافْتة قدّامك. 
       3.0        5.0 --         الْلوْحهْ دي الرّسمها منوْ؟ 
       3.0        5.0 --         الْليلة افْتتاح الْمعْرضْ. 
       3.0        7.0 --         الْليلة حتضْربْنا الشّمشْ. 
       3.0        5.0 --         الْليلة حتْصبْ مطرة. 
       3.0        5.0 --         الْليلهْ السّهْرهْ بي فنّانْ. 
       3.0        7.0 --         الْليْلهْ اجتماع الْجمعيهْ التّعاونيّهْ. 
       3.0        7.0 --         الْليْلهْ خرّجوه من الْمستشفى. 
       3.0        3.0 --         الْليْلهْ عندنا مسابقه. 
       3.0        5.0 --         الْمرّةْ دي  ءخوْي جايي. 
       1.0        4.0 --         الْمطار مقْفولْ. 
       3.0        7.0 --         الْمنْطقة اتْعمّرتْ خالص. 
       3.0        7.0 --         الْموْضوعْ معتّمْ خالصْ. 
       3.0        7.0 --         الْميزانْ تلْقاه عنْد التّاجر. 
       0.0        4.0 --         الْهوا الْليلة شديد. 
       3.0        3.0 --         الْهوا قلّع الشّجر. 
       3.0        5.0 --         الْهوا يهز العربيّة. 
       3.0        5.0 --         الْهيتر ممْتاز جدّاً. 
       3.0        4.0 --         امْسكْ ءعْصابكْ! 
       3.0        5.0 --         انت عزابي ولا متزوج؟ 
       3.0        5.0 --         انت مثبّتْ في الشغل؟ 
       3.0        5.0 --         انتبه قدّامك عربيّة. 
       1.0        4.0 --         انْت زعْلانْ ليْه؟ 
       3.0        5.0 --         انْت ساكن في الشّجرة؟ 
       0.0        4.0 --         انْت عيّانةْ؟ 
       3.0        5.0 --         انْتبه لى نفْسك! 
       0.0        4.0 --         انْتظروني هنْا. 
       3.0        5.0 --         انْزلقْت في الطّيْنْ. 
       3.0        7.0 --         انْكسرْ النّوْر الصّغيّرْ. 
       0.0        4.0 --         بءمكانك تجي. 
       1.0        4.0 --         باردْ زي التلج. 
       3.0        5.0 --         باركْ ليه الزّواجْ. 
       3.0        4.0 --         باكلْ وجْبة سريعة. 
       1.0        4.0 --         بالتءكيد حيجي. 
       3.0        5.0 --         بالغْت يا ءخي. 
       3.0        6.0 --         بالنسبهْ للْبالغْ حبتين. 
       0.0        4.0 --         بالهنا يا ءخي. 
       3.0        5.0 --         بتاخدْ ءدْوية كتيْرةْ. 
       3.0        5.0 --         بتاخدْ ليْها كمْ ساعة؟ 
       3.0        7.0 --         بتاع الجمارك صادر جهازي. 
       3.0        6.0 --         بتاع الجمارك فتّش عفشي. 
       0.0        4.0 --         بتاكلْ شنو؟ 
       0.0        4.0 --         بتشْعري بتعبْ؟ 
       3.0        7.0 --         بتضْحك على شنو؟ 
       0.0        4.0 --         بتعرف القانون؟ 
       3.0        5.0 --         بتعْرفْ شعايْر الصّلاة؟ 
       1.0        4.0 --         بتلعب شطرنج؟ 
       0.0        4.0 --         بتلعب شنو؟ 
       3.0        6.0 --         بتي في المرحلة المتْوسّطة. 
       3.0        5.0 --         بتي مضيفة جويّة. 
       3.0        7.0 --         بتّ ءخويْ اتْزوّجتْ. 
       3.0        5.0 --         بتّ رقيْقة وطويلة. 
       0.0        4.0 --         بتّهْ محامية. 
       3.0        6.0 --         بتّي عندها شهادّة تطعيم. 
       0.0        4.0 --         بتّي محامية. 
       0.0        4.0 --         بتّي مدرّسة. 
       0.0        4.0 --         بجيكمْ برايْ. 
       0.0        4.0 --         بحاولْ ءجيكمْ. 
       1.0        4.0 --         بحب ءاكلْ كبابْ. 
       3.0        7.0 --         بحب ءقْرا كتبْ القصصْ. 
       3.0        4.0 --         بحب البيْض المقْلي. 
       3.0        3.0 --         بحب البيْض شديدْ. 
       3.0        4.0 --         بحب الجدادْ المشْوي. 
       0.0        4.0 --         بحب الشطّة. 
       0.0        4.0 --         بحب العدسْ. 
       0.0        4.0 --         بحب الفاكهة. 
       3.0        2.0 --         بحب ركوب الخْيل. 
       3.0        5.0 --         بحب عصيرْ البرْتكان. 
       0.0        4.0 --         بحب فصل الربيع. 
       3.0        3.0 --         بحب قراية المجلّات. 
       1.0        4.0 --         بحب كورة السّلة. 
       3.0        5.0 --         بحب مادّة التّاريخْ. 
       3.0        3.0 --         بحبْ المسْرح والسينما. 
       3.0        6.0 --         بحق ليك  تطلب تعويض. 
       1.0        4.0 --         بخيْر، الحمْد لله! 
       1.0        4.0 --         بخْتكْ سمحْ. 
       0.0        4.0 --         بخْتكْ! 
       3.0        4.0 --         بدخّنْ شيشة. 
       1.0        4.0 --         بدرس في مدينة مونتري. 
       3.0        5.0 --         بدفع ضرايب طوالي. 
       3.0        4.0 --         بدل ما تمشي ءقْعد. 
       3.0        6.0 --         بدون مءاخذة ماشي الْحمّام. 
       3.0        5.0 --         بدّلْ لىْ الفستانْ دا! 
       3.0        5.0 --         بدّوك تعويض كبير. 
       3.0        7.0 --         بدْرسْ اللّغة العربية. 
       3.0        6.0 --         بدْرسْ لغة عربية. 
       3.0        5.0 --         بدْرسْ لهْجة سودانية. 
       3.0        7.0 --         بذاكرْ في وقت الْفضىْ. 
       3.0        6.0 --         بذاكرْ في وقْت الْفراغْ. 
       0.0        4.0 --         براجع مْع ولدي. 
       3.0        6.0 --         برجّعوا لىْ البدلة دي؟ 
       1.0        4.0 --         برنْدة بيتو وقعتْ. 
       1.0        4.0 --         برّة في هوا شديدْ. 
       3.0        7.0 --         برّي منْ ضواحي الْخرْطومْ. 
       1.0        4.0 --         برْجعْ بعدْ بكْرة. 
       3.0        6.0 --         بزورْ ءهلي يوْم الجمْعة. 
       3.0        5.0 --         بسْكنْ في ءوْضة. 
       0.0        4.0 --         بسْم الله 
       0.0        4.0 --         بشوف بعديْن. 
       3.0        7.0 --         بشْتغلْ جرسوْن في مطْعمْ. 
       3.0        7.0 --         بشْتغلْ في ءجازة الصيْف. 
       3.0        7.0 --         بشْتغلْ في شركة كمْبيوترْ. 
       3.0        7.0 --         بشْتغلْ لحدي السّاعة  ضهرْ. 
       3.0        5.0 --         بشْتغلْ محاسبْ. 
       3.0        3.0 --         بطاقْتك لو سمْحت. 
       3.0        5.0 --         بعد ءذْنك ءنا حءمْشي. 
       0.0        4.0 --         بعْديْن نمْشي ويْن؟ 
       1.0        4.0 --         بعْرفْ كل حاجة. 
       3.0        6.0 --         بعْزف طنْبور كويّس. 
       3.0        6.0 --         بغيّروا ما برجّعوا. 
       3.0        6.0 --         بقرا لامتحانات ءاخر السنة. 
       3.0        6.0 --         بقْبلوا  القروشْ السودانية؟ 
       3.0        3.0 --         بقْبلوا الطالب بكم؟ 
       3.0        4.0 --         بكرة امتحان الدور الءول. 
       3.0        6.0 --         بكرة امتحان الشهادة الثانوّية. 
       3.0        7.0 --         بكرة امتحان الفترة الءولى. 
       3.0        6.0 --         بكرة تسجيل الطلاب الجداد. 
       3.0        7.0 --         بكرة تفضّي البيت! ; بكرة تخْلي البيت! 
       1.0        4.0 --         بكون كوّيس لو جيت. 
       3.0        3.0 --         بكّرة حنمشي رحلة. 
       3.0        6.0 --         بكْرة ءاخر موعد للتسجيل. 
       3.0        4.0 --         بكْرة ءجازة. 
       3.0        2.0 --         بكْرة تتْلمّوا هنا. 
       1.0        4.0 --         بكْرة شم النّسيْم. 
       0.0        4.0 --         بكْرة شْنو؟ 
       1.0        4.0 --         بكْرة عيدْ الفطْر. 
       3.0        5.0 --         بكْرة نحْجزْ للسفرْ. 
       0.0        4.0 --         بكْرة نشوف. 
       3.0        6.0 --         بلديّة الخرْطوْم كبيرة. 
       3.0        5.0 --         بلكونة بيته مقابْلة البحرْ. 
       0.0        4.0 --         بلْعبْ في النّادي. 
       3.0        7.0 --         بناءاً على القصّة دي رجع ليهم. 
       3.0        3.0 --         بناتي عايزني ءجي. 
       3.0        5.0 --         بندفع ليك حق الفطور. 
       3.0        7.0 --         بندفعْ الءيجارْ النصْ بالنص. 
       3.0        4.0 --         بنشْردْ برّة الْبلد. 
       3.0        5.0 --         بنومْ حوالي ستّة ساعات. 
       3.0        7.0 --         بنى بيْته طابْقين. 
       3.0        5.0 --         بنينا حيطة طوب ءحمر. 
       3.0        5.0 --         بنْتظْركْ  طالما حتجي. 
       3.0        5.0 --         بنْديكم خبر بكْرة. 
       3.0        5.0 --         بواسطة البريد الءلكتروني. 
       3.0        5.0 --         بورسودان فوق الْبحرْ. 
       3.0        5.0 --         بورْسودان ءحّر منْ كسلا. 
       3.0        5.0 --         بورْسودان في الشّرقْ. 
       0.0        4.0 --         بوّابة البيت بنيّة. 
       3.0        7.0 --         بوْرتْسودان على البحرْ. 
       3.0        2.0 --         بوْفيْه البلدية كبير. 
       3.0        5.0 --         بيت ءحمد مقابلْ للبحرْ. 
       3.0        5.0 --         بيت الضابطْ مءجّرْ ؟ 
       1.0        4.0 --         بيتنا شرْقْ الجامعْ . 
       0.0        4.0 --         بيتنا في مربّعْ . 
       3.0        6.0 --         بيته جنْب برج الاتّصالات. 
       3.0        7.0 --         بيته فيْه جهازْ تدْفية. 
       1.0        4.0 --         بيتهمْ مءجّرْ. 
       3.0        5.0 --         بيتو في الْحتّة الْواطْية. 
       3.0        3.0 --         بيتو قدّامو سهلة. 
       3.0        5.0 --         بيتْنا قصادْ بيتكمْ. 
       3.0        7.0 --         بيتْنفّسْ بءنْبوبة ءكْسجينْ. 
       0.0        4.0 --         بيتْهمْ في اللّفة. 
       3.0        4.0 --         بيحبوا كورة القدم. 
       3.0        6.0 --         بيدرسوا لغايْة المسا. 
       3.0        7.0 --         بيسْتعْملْ عكّازْ في الْمشي. 
       3.0        5.0 --         بيشْتغلْ تاجرْ. 
       3.0        5.0 --         بيشْتغلْ نجّارْ. 
       3.0        7.0 --         بيعْزف الربّابة كويّس جدّاً. 
       3.0        5.0 --         بيقرا في مدْرسة ثانوية. 
       3.0        3.0 --         بيقْدر يطْبخ؟ 
       0.0        4.0 --         بيقْدروا يجوا؟ 
       0.0        4.0 --         بيقْرا كل يوم. 
       3.0        2.0 --         بيلْعب كورة طايرة. 
       3.0        5.0 --         بينْزل مطرْ كتيْر. 
       3.0        3.0 --         بيْت لوْنهْ بنفْسجي. 
       0.0        4.0 --         بيْتنا كبيرْ. 
       3.0        5.0 --         بيْته ناصْية، ءوّلْ شارع. 
       0.0        4.0 --         بيْتهْ وسيعْ. 
       0.0        4.0 --         بيْتْنا كبيرْ. 
       0.0        4.0 --         بْيتنْا في المْوردة. 
       3.0        5.0 --         تءثيرْ الدّوا دا ضعيفْ. 
       3.0        5.0 --         تءكْيد الحجز مهم. 
       3.0        3.0 --         تابع مع المدرّس كويّس. 
       3.0        5.0 --         تابعْ لفرْقة موسيقيّة. 
       3.0        2.0 --         تاريخ سفرك متين؟ 
       3.0        3.0 --         تاكلْ لحْمة ضاني ؟ 
       3.0        5.0 --         تجديد الجواز مهم. 
       0.0        4.0 --         تجي بكْرة ؟ 
       0.0        4.0 --         تجي معانا؟ 
       3.0        5.0 --         تذكرتك ورق ولاّ الكترونية؟ 
       1.0        4.0 --         تراث النّوبهْ جميلْ. 
       0.0        4.0 --         تسْليكْ المجاري. 
       1.0        4.0 --         تشرّفونا متيْن؟ 
       3.0        5.0 --         تشيل قروشي بالقوة؟ 
       0.0        4.0 --         تشْربْ جبْنة؟ 
       3.0        2.0 --         تشْربْ حاجة بارْدة؟ 
       3.0        7.0 --         تصْبحوا على خيْر. 
       3.0        6.0 --         تصْليْح العربيّة كلف كمْ؟ 
       0.0        4.0 --         تعال المطار بدري. 
       3.0        5.0 --         تعال في المواعيد المحدّدة. 
       0.0        4.0 --         تعال يا شاويشْ! 
       0.0        4.0 --         تعالي بكْرة. 
       0.0        4.0 --         تعالْ بدْري. 
       3.0        4.0 --         تعالْ شوفْ يا ءحْمدْ. 
       0.0        4.0 --         تعالْ هنا. 
       0.0        4.0 --         تفْتكرْ شنو؟ 
       3.0        6.0 --         تقدر تجى هسع؟ 
       3.0        5.0 --         تقدرْ توصّلني معاكْ؟ 
       3.0        2.0 --         تقرير البوليس وصل؟ 
       3.0        5.0 --         تقْريْرْ الطّبيْبْ وصلْ. 
       1.0        4.0 --         تكْييفْ البيتْ سمحْ. 
       3.0        5.0 --         تلفوني اشْتغلْ. 
       3.0        4.0 --         تلقاه جنبْ الجامع. 
       0.0        4.0 --         تمام يا فنْدم. 
       3.0        3.0 --         تمرّقْ الءوْلادْ برّة؟ 
       0.0        4.0 --         تمرْ عليْ بعْديْن. 
       0.0        4.0 --         تمنْ العربية كمْ؟ 
       3.0        5.0 --         تمنْ عربيته غالي. 
       3.0        7.0 --         تنْضيْف الشّوارعء ضروري. 
       3.0        6.0 --         تودّوه هسّعْ  ولاّ بعدين؟ 
       3.0        2.0 --         جا عرقهْ يصبْ. 
       3.0        7.0 --         جا على الخطوط السّودانية. 
       3.0        5.0 --         جا عن طريق القاهرة. 
       0.0        4.0 --         جاب مراتبْ للسرايرْ. 
       3.0        5.0 --         جاب ْ مخدّات جديدةْ. 
       3.0        6.0 --         جابلى صحن فول. 
       3.0        5.0 --         جابو جدْول الحصص. 
       3.0        4.0 --         جابوا دينمو جديْد. 
       3.0        3.0 --         جابوا ليها عقدْ دهبْ. 
       3.0        7.0 --         جابوا ليْه نقّالة للْمسْتشْفى. 
       3.0        2.0 --         جاته حالةْ فتورْ. 
       3.0        5.0 --         جاتْ عربيّة الءسْعافْ. 
       3.0        3.0 --         جاتْ مطرة شديدة. 
       0.0        4.0 --         جارْنا ءسْتاذْ. 
       3.0        7.0 --         جامْعة الخرْطوم ممْتازة. 
       3.0        6.0 --         جاهزْ للشغلْ؟ 
       0.0        4.0 --         جايْ عليْنا متيْن؟ 
       3.0        4.0 --         جبل مرّة سمحْ جدّا. 
       3.0        5.0 --         جبنا زيت عصّارة. 
       1.0        4.0 --         جبنا عفش جديد. 
       0.0        4.0 --         جبْت الحاجات؟ 
       3.0        5.0 --         جدّدّ الجواز بتاعك. 
       0.0        4.0 --         جدّي جا. 
       3.0        5.0 --         جرس التّلفونْ ضربْ. 
