      male     female
       2.0        3.0 --         تیسرا 
       4.0        6.0 --         تیل 
      12.0       14.0 --         تیل کا ٹینکر 
       4.0        5.0 --         تیمارداری 
       2.0        2.0 --         تین 
       3.0        3.0 --         تین سو 
       4.0        5.0 --         تینتالیس 
       3.0        3.0 --         تینتیس 
       2.0        3.0 --         ثابت 
      19.0       18.0 --         ثقا فت۔ ثقافتی 
       5.0        8.0 --         جائداد 
      12.0       11.0 --         جائز 
      21.0       15.0 --         جائنٹ چیف آف سٹاف 
       8.0        9.0 --         جائیداد 
       4.0        6.0 --         جاسوسی 
      12.0       17.0 --         جال بچھانا 
       3.0        3.0 --         جامنی 
      18.0       18.0 --         جان بحق ہونا 
      10.0       10.0 --         جان بوجھ 
       4.0        5.0 --         جان دینا 
      15.0       17.0 --         جان سے ہاتھ دھونا 
       4.0        5.0 --         جان لیوا 
      12.0       16.0 --         جان پہچان 
      17.0       18.0 --         جان کی بازی ہارنا 
      21.0       15.0 --         جانور جو ختم ہونے کے خطرے میں ہیں 
       5.0        8.0 --         جانوروں 
      21.0       17.0 --         جانچ پڑتال 
      19.0       18.0 --         جاو 
       8.0       10.0 --         جاپانی 
      12.0       14.0 --         جاگیردارانہ 
      10.0       10.0 --         جاگیرداری 
      20.0       20.0 --         جب آپ سڑک پر روکیں تو گاڑیوں کے درمیان مناسب فاصلہ رکھیں اگر آس پاس چلانے کی ضرورت پڑے۔ 
      20.0       20.0 --         جب بھی گاڑی روکیں تو ہر مرتبہ پٹڑول ڈالیں۔ 
       4.0        5.0 --         جب تک 
       5.0        8.0 --         جب تک کہ 
       4.0        6.0 --         جب سے 
      20.0       20.0 --         جب کھانا دستیاب ھوگا تو کحچھ فوجی خیموں پر دیا جائے گا۔ 
      12.0       14.0 --         جبڑ ا 
      21.0       17.0 --         جبڑا توڑنا 
       3.0        3.0 --         جتنی 
       3.0        3.0 --         جدت 
      10.0       10.0 --         جدوجہد 
       3.0        5.0 --         جدید 
      17.0       18.0 --         جدید گولہ بارود 
       8.0       12.0 --         جرائد 
      13.0       16.0 --         جراب۔ جرابیں 
       3.0        3.0 --         جراثیم 
      16.0       20.0 --         جراثیم کش 
      15.0       17.0 --         جراثیم کش اسپرے 
       6.0        8.0 --         جراح 
      24.0       27.0 --         جراحی 
      13.0       16.0 --         جرسی ۔ سویٹر 
       3.0        3.0 --         جرم 
       8.0       10.0 --         جرمانہ 
       4.0        6.0 --         جرگہ 
      20.0       18.0 --         جس طرح 
       3.0        3.0 --         جسم 
      15.0       18.0 --         جسم میں پانی کی کمی 
      12.0       17.0 --         جسما نی سزا 
       4.0        5.0 --         جسمانی 
      21.0       16.0 --         جعلی ڈاکٹر 
      21.0       15.0 --         جغرافیائی خطہ ، خطے 
       5.0        8.0 --         جل جانا 
      17.0       18.0 --         جلد کی خارش 
      22.0       16.0 --         جلدی کرو۔ 
      12.0       14.0 --         جلسہ عام 
       4.0        5.0 --         جلو س 
       4.0        5.0 --         جلیبی 
      12.0       14.0 --         جما عتیں 
      10.0       10.0 --         جمادی الاول 
       8.0        9.0 --         جمادی الثانی 
      21.0       18.0 --         جماعت، جماعتیں 
      12.0       17.0 --         جمع شدہ 
       8.0       10.0 --         جمعرات 
       6.0        8.0 --         جمعہ 
      22.0       20.0 --         جن کو آپ نے دیکھا ان میں سے کسی کی نمایاں شکل و صورت تھی؟ 
      10.0       10.0 --         جنازہ 
      21.0       17.0 --         جنازہ۔ جنازے 
      12.0       14.0 --         جنرل اسمبلی 
      15.0       17.0 --         جنسی زیادتی 
      11.0       10.0 --         جنسی کاروبار 
      26.0       24.0 --         جنوب 
      20.0       16.0 --         جنوب مشرقی ایشیائی مشترکہ دفاعی معاہدہ۔ سیٹو 
      22.0       18.0 --         جنوب کی طرف 
      12.0       11.0 --         جنوبی امریکہ 
       3.0        3.0 --         جنوری 
      12.0       14.0 --         جنونی حد 
      22.0       16.0 --         جنگ بندی 
       8.0        9.0 --         جنگلات 
       4.0        6.0 --         جنگی 
       2.0        3.0 --         جو 
      12.0       11.0 --         جوابدہ ہونا 
       6.0        6.0 --         جوار 
      12.0       11.0 --         جوتا۔ جوتے 
      12.0       11.0 --         جوشاندہ 
       5.0        8.0 --         جولائی 
       3.0        3.0 --         جون 
      12.0       11.0 --         جوڑ 
       3.0        3.0 --         جوں 
       4.0        6.0 --         جوں ہی 
       3.0        3.0 --         جوہری 
      12.0       14.0 --         جوہری توانائی 
      21.0       18.0 --         جوہری منصو بہ 
      12.0       14.0 --         جوہڑ 
       8.0       11.0 --         جڑ 
      21.0       16.0 --         جڑ سے اکھاڑ پھینکنا 
      42.0       34.0 --         جڑی بوٹیاں 
      13.0       17.0 --         جڑے ہونا 
      15.0       17.0 --         جگت بازی 
       4.0        5.0 --         جگر 
       4.0        6.0 --         جگہ 
      12.0       15.0 --         جھاڑن 
      27.0       34.0 --         جھاڑیاں 
       4.0        5.0 --         جھلک 
      13.0       16.0 --         جھڑپ 
       4.0        5.0 --         جھکانا 
      15.0       17.0 --         جھگڑا 
       8.0       10.0 --         جھینگے 
       8.0       10.0 --         جہاز 
       8.0       10.0 --         جہیز 
      18.0       17.0 --         جی تشریف لاہیں۔ 
      18.0       17.0 --         جی میرے پاس پاس ھے 
      23.0       19.0 --         جی ھاں میں آدمی کی شناخت کرا سکتا ھوں۔ 
      22.0       20.0 --         جی ھاں ہمارے پاس دونوں پرائمری اور سکینڈری اسکول کے استاد ھیں۔ 
      22.0       21.0 --         جی ھاں۔ اس کی سپلائی کارخانے کے قریب سے مل جاتی ھے۔ 
      22.0       20.0 --         جی ھاں۔ ٹاون میں دو کنوایں ھیں۔ 
      22.0       22.0 --         جی ھاں۔ گیس کی نالی یہاں سے قریب ھے۔ 
      22.0       20.0 --         جی ھاں۔ یہاں پرائمری اور اسکینڈری اسکول ھیں۔ 
      18.0       17.0 --         جی ہاں 
      25.0       20.0 --         جی ہاں مہھجے تھورے سے چکر آرہے ہیں۔ 
      25.0       20.0 --         جی ہاں میری ٹانگوں میں درد ھے۔ 
      25.0       20.0 --         جی ہاں میرے سر میں درد ھے۔ 
      21.0       20.0 --         جی ہاں میں پناہ گزین ھوں 
      21.0       19.0 --         جی ہاں پورے پاکستان میں بسیں اور ٹرینیں چلتی ھیں۔ 
      21.0       19.0 --         جی ہاں ہمارے پاس مقامی نقشہ ھے جو بڑی اور چھوٹی سڑکیں بتاتا ھے۔ 
      21.0       19.0 --         جی ہاں۔اس علاقے میں آمدورفت کا رش ھے۔ 
       9.0        9.0 --         جیسا 
      10.0       10.0 --         جیسے تیسے 
       4.0        6.0 --         جیسے ہی 
       3.0        3.0 --         جیپ 
       4.0        6.0 --         جیپسم 
       5.0        8.0 --         حادثاتی 
       4.0        6.0 --         حادثہ 
       4.0        6.0 --         حادثے 
      19.0       18.0 --         حاصل کرنا 
      15.0       17.0 --         حال ۔ حالات 
      21.0       17.0 --         حالات حاضرہ کے پروگرام 
       8.0       10.0 --         حالانکہ 
      14.0       17.0 --         حالت جنگ 
       8.0        9.0 --         حاوی ہونا 
       4.0        6.0 --         حج 
       8.0        9.0 --         حجام 
       8.0       10.0 --         حد 
       5.0        8.0 --         حد تک 
      10.0       10.0 --         حدبندی 
       5.0        8.0 --         حراست 
       4.0        5.0 --         حرام 
       5.0        8.0 --         حسا ب 
      12.0       14.0 --         حساس ادارے 
      16.0       24.0 --         حسین 
      13.0       16.0 --         حشرات الارض 
      16.0       18.0 --         حصول 
       4.0        5.0 --         حضرات 
      22.0       16.0 --         حفاظتی وجوہات کی وجہ سے اس علاقے میں داخلہ ممنوع ھے۔ 
      22.0       16.0 --         حفاظتی کلپ کو ہٹا کر رنگ کو کھینچو۔ 
      12.0       14.0 --         حفظ کرنا 
      21.0       17.0 --         حفظان صحت 
      12.0       17.0 --         حق نبھانا 
      15.0       17.0 --         حقائق 
      21.0       18.0 --         حقدار ، حق 
       8.0        9.0 --         حقہ 
       4.0        5.0 --         حل 
       8.0       11.0 --         حلوائی 
      12.0       14.0 --         حلوہ پوری 
       4.0        6.0 --         حلیم 
       4.0        6.0 --         حمایت 
      16.0       18.0 --         حمل ۔ حاملہ 
       5.0        8.0 --         حملہ 
      12.0       14.0 --         حملہ آور 
       8.0       10.0 --         حوالدار 
      12.0       11.0 --         حوالے سے 
      21.0       16.0 --         حوصلہ افزائی 
       4.0        5.0 --         حکام 
       4.0        6.0 --         حکمت 
      13.0       17.0 --         حکمت عملی 
       5.0        8.0 --         حکمران 
       8.0       10.0 --         حکمنامہ 
      21.0       18.0 --         حکو مت ۔ حکو متی جما عت 
      21.0       16.0 --         حکومت متحدہ ریاست ہائے امریکہ 
      22.0       21.0 --         حکومت نے زمین لے لی۔ 
       8.0       12.0 --         حکیم 
      21.0       18.0 --         حکیم، طبیب 
       8.0        9.0 --         حیاتیاتی 
      15.0       16.0 --         خاتون خانہ 
       8.0        9.0 --         خارجی 
       8.0       10.0 --         خارش 
      63.0       51.0 --         خاطر خواہ 
      21.0       16.0 --         خاطر خواہ نتیجہ 
       4.0        6.0 --         خالو 
       8.0       14.0 --         خالہ 
       8.0       11.0 --         خام مواد 
       8.0        9.0 --         خاندان 
       8.0        9.0 --         خاندانی 
      17.0       18.0 --         خاندانی حکیم 
      21.0       16.0 --         خاندانی منصوبہ بندی 
      21.0       16.0 --         خاندانی ڈھانچہ 
      20.0       16.0 --         خاندانی یا ذاتی ڈاکٹر ایسا ڈاکٹر جس کے پاس آپ اور آپ کے خاندان کے لوگ اکثر جاتے ہوں 
      15.0       17.0 --         خانہ جنگی 
       4.0        6.0 --         خبر 
      22.0       16.0 --         خبردار 
      12.0       16.0 --         خبردار کرنا 
       4.0        6.0 --         خدا 
      18.0       17.0 --         خدا حافظ 
      18.0       18.0 --         خدانخواستہ 
      24.0       22.0 --         خدشہ 
      12.0       14.0 --         خدشے 
       4.0        6.0 --         خراب 
       8.0       10.0 --         خراش 
      21.0       17.0 --         خرچ ۔ اخراجات 
      12.0       14.0 --         خرچہ 
      21.0       17.0 --         خرچ۔ اخراجات 
       8.0        9.0 --         خریداری 
       8.0        9.0 --         خریدنا 
      63.0       54.0 --         خریدوفرخت 
      21.0       17.0 --         خریدوفروخت 
      20.0       20.0 --         خریف 
      12.0       16.0 --         خزانہ 
      24.0       32.0 --         خزاں 
       6.0        8.0 --         خسارہ 
       5.0        8.0 --         خسرہ 
       8.0       10.0 --         خشک 
      21.0       17.0 --         خشک اور نیم خشک 
      13.0       16.0 --         خشک سالی 
      21.0       18.0 --         خشک علاقے 
      21.0       17.0 --         خصوصی 
      21.0       16.0 --         خصوصی نامہ نگار 
      21.0       15.0 --         خط غربت ۔ غربت کی دہلیز۔ غربت کی لکیر 
      16.0       18.0 --         خطاب 
      18.0       18.0 --         خطرناک 
      21.0       15.0 --         خطرناک حد تک کم ہونے والی قسمیں 
      22.0       22.0 --         خطرہ۔ 
      63.0       48.0 --         خطرہ۔ خطرناک 
      30.0       34.0 --         خطہ 
       8.0       10.0 --         خلیج 
      32.0       44.0 --         خناق 
      30.0       34.0 --         خواص 
      13.0       17.0 --         خواہش مند 
      15.0       17.0 --         خوب سجایا ہوا 
      42.0       36.0 --         خوبصورت 
      17.0       18.0 --         خود ساختہ 
       8.0        9.0 --         خود کار 
      21.0       18.0 --         خود کش حملہ 
      13.0       17.0 --         خود کفیل 
       4.0        6.0 --         خوراک 
      12.0       16.0 --         خورونوش 
      35.0       35.0 --         خوش آمدید 
      12.0       14.0 --         خوشبو 
      15.0       17.0 --         خوشگوار 
       9.0       11.0 --         خوشی 
       4.0        5.0 --         خون 
      15.0       17.0 --         خون بہہ رہا ہے 
      12.0       17.0 --         خون خوار 
      12.0       14.0 --         خون کا بہنا 
      12.0       14.0 --         خون کا دباو 
      21.0       17.0 --         خون کا عطیہ 
      24.0       22.0 --         خیال رکھنا 
      13.0       16.0 --         خیال سمع 
      21.0       15.0 --         خیراتی شفاخانہ ، شفاخانے 
      21.0       16.0 --         دا ڑھ یا ڈاڑھ 
       9.0        9.0 --         دائر 
       3.0        3.0 --         دائِرہ 
      15.0       17.0 --         دائیں بازو 
      21.0       15.0 --         دائیں۔دائیں ہاتھ یا طرف۔ دایاں ہاتھ۔ سیدھا ھاتھ 
      22.0       16.0 --         داخل مت ھوں۔ 
      22.0       16.0 --         داخلہ ممنوع ھے۔واپس جائیں 
      22.0       22.0 --         داخل۔ 
       2.0        3.0 --         دادا 
       4.0        6.0 --         دادی 
      12.0       16.0 --         دارالحکومت 
       4.0        5.0 --         دارومدار 
       3.0        3.0 --         داستان 
       2.0        3.0 --         دال 
      21.0       15.0 --         دانتوں کا ڈاکٹر ۔ دندان ساز 
       2.0        3.0 --         دانے 
      19.0       18.0 --         داہیں ہوجاو 
       3.0        3.0 --         دبانا 
       4.0        6.0 --         درآمد 
       5.0        8.0 --         درآمدات 
      19.0       18.0 --         درآمدات و برآمدات 
      15.0       17.0 --         درآمد۔ درآمدات 
       3.0        3.0 --         درانتی 
       3.0        3.0 --         درج 
       4.0        6.0 --         درج کرنا 
       9.0       12.0 --         درجہ 
      11.0       17.0 --         درجہؓ حرارت 
      12.0       17.0 --         درجۂ حرارت 
      21.0       16.0 --         درجۂ حرارت معلوم کرنے کا آلہ 
      10.0       16.0 --         درخت 
      13.0       16.0 --         درخشاں 
      24.0       22.0 --         درخواست 
      15.0       17.0 --         درد محسوس کرنا 
      19.0       18.0 --         دردناک چیخیں 
      12.0       11.0 --         درد۔ تکلیف 
      10.0       16.0 --         درزی 
      17.0       18.0 --         درزی درزن 
       8.0       10.0 --         دروازہ 
      12.0       14.0 --         درپیش آنا 
       2.0        3.0 --         درہ 
      12.0       11.0 --         درہ خیبر 
       2.0        3.0 --         دریا 
       8.0        9.0 --         دریائی بند 
       5.0        8.0 --         دریافت 
      22.0       22.0 --         دریاوں کے قریب نالیوں کا نظام ھے۔ 
       3.0        3.0 --         دریغ کرنا 
       2.0        2.0 --         دس 
       4.0        5.0 --         دس لاکھ 
      10.0       10.0 --         دس ہزار 
       2.0        3.0 --         دست 
       8.0       11.0 --         دست شناس 
      12.0       11.0 --         دستاویز 
      12.0       15.0 --         دستاویزات 
      22.0       20.0 --         دستہ کتنا بڑا تھا؟ 
       4.0        5.0 --         دستیاب 
       8.0       11.0 --         دست۔ جلاب 
       3.0        5.0 --         دسمبر 
       3.0        4.0 --         دسواں 
      20.0       19.0 --         دشمن کا اڈہ کہاں ھے؟ 
      22.0       17.0 --         دشمن کی اصلی جگہ کون سی ھے۔ 
      22.0       16.0 --         دشمن کے جہاز پر نظر رکھو۔ 
      22.0       20.0 --         دشمن کے دستوں کے بارے میں بتایئں 
      13.0       17.0 --         دشوار۔ دشواری 
       3.0        3.0 --         دعا 
       8.0       10.0 --         دعوہ کرنا 
       8.0        9.0 --         دعوی کرنا 
      21.0       16.0 --         دفعات;دفعہ;شق 
       4.0        6.0 --         دل کا دورہ 
      14.0       16.0 --         دل کھول کر 
      15.0       17.0 --         دل کی دھڑکن 
       4.0        6.0 --         دلدادہ 
      15.0       17.0 --         دلدل میں پھنسنا 
      12.0       11.0 --         دلچسپی 
      17.0       18.0 --         دلچسپی کا اظہار کرنا 
       3.0        3.0 --         دلہن 
      12.0       11.0 --         دم پخت 
      12.0       16.0 --         دم گھٹنا 
       4.0        6.0 --         دمہ 
       2.0        2.0 --         دن 
       3.0        5.0 --         دن بدن 
       3.0        4.0 --         دن بھر 
      12.0       17.0 --         دن دھاڑے 
       2.0        3.0 --         دنیا 
       2.0        3.0 --         دنیاوی 
      13.0       16.0 --         دنیاوی معاملات 
       2.0        2.0 --         دو 
       3.0        3.0 --         دو سو 
       3.0        5.0 --         دو پہر 
      21.0       19.0 --         دو گھنٹے 
       2.0        2.0 --         دوا 
       3.0        3.0 --         دوائی 
      12.0       16.0 --         دوائی، دوائیں 
      24.0       33.0 --         دواخانہ 
      12.0       14.0 --         دوافروش 
       3.0        3.0 --         دودھ 
       8.0        9.0 --         دودھ دوہنا 
      18.0       18.0 --         دودھ دوہنا , دودھ دوہ 
       8.0       11.0 --         دودھ پلانا 
       2.0        3.0 --         دور 
      22.0       16.0 --         دور رھو۔ 
       3.0        3.0 --         دور مار 
       3.0        4.0 --         دور پار 
       3.0        3.0 --         دورانیہ 
       6.0        6.0 --         دوست 
       4.0        5.0 --         دوستانہ 
       3.0        3.0 --         دوسرا 
      22.0       16.0 --         دوسری طرف سے گذریں۔ 
      12.0       14.0 --         دولت خانہ 
       3.0        3.0 --         دولہا 
      10.0       10.0 --         دوپٹہ 
       3.0        5.0 --         دوپہر 
       4.0        5.0 --         دوہرا نظام 
       8.0       10.0 --         دَروازہ 
       3.0        3.0 --         دکاندار 
       4.0        6.0 --         دھاتوں 
       8.0        9.0 --         دھاوا بولنا 
       8.0        9.0 --         دھاگوں 
       3.0        4.0 --         دھماکہ 
      21.0       17.0 --         دھماکہ خیز مادہ 
       3.0        4.0 --         دھواں 
      12.0       17.0 --         دھواں اٹھنا 
       6.0        6.0 --         دھوبی 
       3.0        3.0 --         دھوم 
       4.0        6.0 --         دھوکا دہی 
       5.0        8.0 --         دھوکہ دہی 
       8.0       10.0 --         دھچکے 
      12.0       14.0 --         دھڑکن 
      12.0       11.0 --         دھڑے 
      22.0       16.0 --         دھکے مت دو ہمارے پاس بہت کھانا ھے۔ 
       3.0        3.0 --         دہائی 
      21.0       18.0 --         دہائی ،دہایاں ، دہائیوں کا،سے،میں 
       2.0        3.0 --         دہانا 
      12.0       15.0 --         دہشت گرد 
      12.0       16.0 --         دہشت گردی 
      16.0       18.0 --         دہنی صدمہ 
       4.0        6.0 --         دیانتداری 
       2.0        3.0 --         دیوار 
       2.0        3.0 --         دیور 
       5.0        8.0 --         دیگر امور 
      21.0       17.0 --         دیگر مصروفیات 
      13.0       16.0 --         ذاتی دلچسپی 
       3.0        4.0 --         ذاتی ضروریات 
       5.0        8.0 --         ذخائر 
      16.0       18.0 --         ذخیرہ ، ذخائر 
      11.0       10.0 --         ذرائع ابلاغ 
      21.0       17.0 --         ذرائع مواصلات 
      15.0       17.0 --         ذریعہ معاش 
       3.0        3.0 --         ذمہ دار 
      12.0       14.0 --         ذمہ دار ٹھرایا 
       3.0        3.0 --         ذمہ داری 
      10.0       10.0 --         ذہنوں پر سوار 
      12.0       14.0 --         ذہنی دھچکہ 
      10.0       10.0 --         ذہنی و قلبی 
       8.0       10.0 --         ذی الحج 
       8.0        9.0 --         ذیقعد 
       2.0        2.0 --         ر مضان 
       2.0        2.0 --         ر کن 
       3.0        3.0 --         رائتہ 
       3.0        5.0 --         رائج 
       3.0        3.0 --         رائے 
      10.0       10.0 --         رائے۔آرائ 
      60.0       80.0 --         رابطہ 
       2.0        2.0 --         رات 
       8.0        9.0 --         رات گئے 
       9.0        9.0 --         راستہ 
      14.0       16.0 --         راستہ۔رستہ 
       2.0        2.0 --         رال 
       2.0        2.0 --         ران 
       4.0        5.0 --         ربیع 
      12.0       11.0 --         ربیع الاول 
       8.0       10.0 --         ربیع الثانی 
       3.0        3.0 --         رجب 
       8.0        9.0 --         رجحان 
      21.0       15.0 --         رجمنٹ ۔ بٹالین کوارٹر ماسٹر حوالدار 
       5.0        8.0 --         رجوع 
       3.0        4.0 --         رخ 
       3.0        3.0 --         رد کرنا 
       3.0        3.0 --         رسالہ 
       2.0        3.0 --         رسم 
      10.0       16.0 --         رسم و رواج 
       2.0        3.0 --         رسنا 
       8.0       10.0 --         رشوت 
      13.0       16.0 --         رشوت خوری 
       2.0        3.0 --         رضائی 
       4.0        5.0 --         رعایت 
      12.0       14.0 --         رعیت۔رعایا 
       4.0        5.0 --         رفتار 
      22.0       22.0 --         رفتار کا احترام کریں۔ 
      22.0       21.0 --         رفتار کی کیا حد ھے؟ 
       4.0        5.0 --         رقبہ 
       8.0       11.0 --         رقم ہضم کرنا 
       2.0        2.0 --         رمضان 
      16.0       20.0 --         رنگارنگ 
       3.0        3.0 --         رنگت 
       6.0        6.0 --         رواج 
       3.0        3.0 --         رواداری 
       4.0        5.0 --         روانگی 
       2.0        3.0 --         روانہ 
       2.0        3.0 --         روایتی 
       4.0        6.0 --         روایتی کھیل 
       8.0       10.0 --         روز مرہ 
      10.0       10.0 --         روزنامہ 
      12.0       11.0 --         روزگار 
      10.0       16.0 --         روزہ 
      12.0       14.0 --         روسی اشتراکیت 
       3.0        4.0 --         روشن 
      18.0       18.0 --         روغنی تخم کے پودے 
      21.0       17.0 --         رونق۔ مصروف 
      21.0       18.0 --         رونگھٹے کھڑے ہونا 
       4.0        5.0 --         روٹی 
      21.0       18.0 --         روپیہ خورد برد کرنا 
       3.0        5.0 --         روک تھام 
       5.0        8.0 --         روکاوٹ 
      20.0       20.0 --         روکنے سے پہلے کم از کم تین کلو میٹر گاڑی چلاییں۔ 
      18.0       18.0 --         رک جاو 
      18.0       18.0 --         رک جاو ورنہ گولی ماردونگا 
       4.0        6.0 --         رکاوٹ 
      22.0       16.0 --         رکو۔ 
       4.0        6.0 --         رہائش 
      17.0       18.0 --         رہائش پزیر 
       6.0        6.0 --         رہائی 
      16.0       18.0 --         رہنا۔ رہتا۔ رہتی 
       2.0        3.0 --         رہنما 
       2.0        2.0 --         ریاضی 
       4.0        6.0 --         ریل انجن 
       8.0        9.0 --         ریوڑ 
       4.0        6.0 --         ریچھ 
      15.0       17.0 --         ریڈیو 
       9.0       11.0 --         ریڑ ھی 
       8.0       10.0 --         ریڑھ 
       4.0        6.0 --         زانی 
      18.0       18.0 --         زبان کڑوی 
      19.0       18.0 --         زبردستی قبضہ 
      12.0       15.0 --         زحمت 
      12.0       14.0 --         زخم 
      24.0       28.0 --         زخمی 
      12.0       14.0 --         زراعت 
      21.0       18.0 --         زرخیز کرنا 
      15.0       17.0 --         زرد بخار 
      12.0       14.0 --         زرد۔پیلا 
      10.0       10.0 --         زرعی 
      12.0       16.0 --         زرمبادلہ 
      21.0       17.0 --         زرمبادلہ کے ذخائر 
      15.0       17.0 --         زلزلہ 
       5.0        8.0 --         زمرہ 
       4.0        6.0 --         زمین 
      15.0       17.0 --         زمین بوس ہونا 
      15.0       17.0 --         زمین دوز 
      19.0       18.0 --         زمین سے زمین 
      22.0       16.0 --         زمین پراترو 
      21.0       17.0 --         زمین کی سطع 
      22.0       21.0 --         زمین کے کاغذات کس کے نام ھیں؟ 
       4.0        5.0 --         زنا 
      15.0       17.0 --         زنا بالجبر 
      15.0       17.0 --         زناباالجبر 
      25.0       19.0 --         زنانہ فوجی جلد ہی اے گی۔ 
      12.0       14.0 --         زندگی 
      21.0       17.0 --         زچگی کی شرح 
      17.0       18.0 --         زکام، نزلہ 
       4.0        6.0 --         زکوۃ 
      15.0       17.0 --         زہر چوسنا 
       8.0        9.0 --         زہریلا 
      12.0       16.0 --         زہریلا مواد 
      21.0       18.0 --         زیادہ سے زیادہ 
       4.0        6.0 --         زیر اثر 
      10.0       10.0 --         زیر انتظام 
      13.0       16.0 --         زیر بحث 
      12.0       14.0 --         زیر تربیت 
      15.0       17.0 --         زیر زمین 
       8.0       10.0 --         زیر سایہ 
      12.0       16.0 --         زیر کاشت 
       4.0        6.0 --         زیور 
      15.0       17.0 --         زیور یا گہنے 
       2.0        3.0 --         سا لا 
       2.0        3.0 --         سا لی 
       4.0        5.0 --         سائیکل 
      21.0       18.0 --         سائیکلوں کی دوڑ 
       4.0        5.0 --         سابق 
      21.0       17.0 --         سابق وزرائے اعظم 
       2.0        2.0 --         سات 
       3.0        3.0 --         سات سو 
       3.0        4.0 --         ساتواں 
      38.0       36.0 --         ساحلی علاقہ 
       5.0        8.0 --         ساخت 
       4.0        5.0 --         سادگی 
      15.0       17.0 --         سادہ کپڑے 
      12.0       11.0 --         سازگار 
       2.0        3.0 --         ساس 
       6.0        6.0 --         سالانہ 
      21.0       16.0 --         سالانہ شرح فیصد 
       2.0        3.0 --         سالن 
      42.0       36.0 --         سالگرہ۔۔تاریخ پیدائش 
       8.0        9.0 --         سال۔۔برس۔ سن 
      12.0       14.0 --         سامان بیگج 
      22.0       22.0 --         سامنے آنے والی ٹریفک پر رفتار آہستہ کریں۔ 
      15.0       17.0 --         سانس بحال کرنا 
       5.0        8.0 --         سانس کی نالی 
       3.0        3.0 --         سانپ 
      12.0       16.0 --         سانپ کا کاٹنا 
       4.0        6.0 --         ساٹھ 
      22.0       21.0 --         ساٹھ کلومیٹر فی گھنٹہ 
      21.0       19.0 --         ساڑھے تین بجے ھیں 
      16.0       18.0 --         ساڑھے تین سو 
      21.0       17.0 --         ساڑھے چھ بجے 
      22.0       16.0 --         سب باہر جایئں۔ 
      22.0       21.0 --         سب سے آخری ڈرائیور کو رک کر خراب ٹرک کی مدد کرنی چاھیے۔ 
       6.0        8.0 --         سبز 
      12.0       16.0 --         سبز ی والے 
       8.0        9.0 --         سبزی 
      12.0       14.0 --         سبزی والا 
       4.0        5.0 --         ستائیس 
       3.0        3.0 --         ستاسی 
       2.0        3.0 --         ستانا 
       3.0        3.0 --         ستانوے 
       3.0        3.0 --         ستاون 
       2.0        3.0 --         ستتر 
       2.0        3.0 --         ستر 
       2.0        3.0 --         سترہ 
       3.0        3.0 --         ستمبر 
       3.0        3.0 --         سجی 
       4.0        6.0 --         سحری 
      12.0       14.0 --         سخت گیر 
       8.0       10.0 --         سدباب 
       4.0        5.0 --         سدھارنا 
       2.0        2.0 --         سر 
      10.0       10.0 --         سر انجام دینا 
      10.0       10.0 --         سر سبز 
      20.0       20.0 --         سر فہرست 
      12.0       17.0 --         سر پھاڑنا 
      13.0       17.0 --         سر پھٹ گیا 
       6.0        6.0 --         سرا، کونا 
       4.0        5.0 --         سرائیکی 
      10.0       16.0 --         سراغ لگانا 
       2.0        3.0 --         سرایت 
       3.0        3.0 --         سربراہ 
       5.0        8.0 --         سرحد 
      21.0       19.0 --         سرحد کو عبور کرنے میں کتنی دیر لگے گی۔ 
      10.0       10.0 --         سرد جنگ 
       2.0        3.0 --         سردی 
      21.0       19.0 --         سردی کے موسم میں سڑکیں خطرناک اور برف سے ڈھکی ھوتی ھیں۔ 
       4.0        5.0 --         سرسوں 
      12.0       14.0 --         سرسوں کا ساگ 
       8.0       10.0 --         سرسٹھ 
       2.0        3.0 --         سرغنہ 
       4.0        6.0 --         سرمایہ کاری 
       5.0        8.0 --         سرنگیں 
      10.0       10.0 --         سرپرستی کرنا 
       8.0       10.0 --         سرپنچ 
       4.0        6.0 --         سرکاری 
      12.0       17.0 --         سرکاری نوکری۔ نوکریاں 
      21.0       17.0 --         سرکاری واٹر سپلائی لائن 
       4.0        5.0 --         سرکاری کام 
      15.0       17.0 --         سرکاری گاڑی 
       3.0        3.0 --         سرکوبی 
       4.0        6.0 --         سرگرمی 
      21.0       18.0 --         سرگرمی ۔ سرگرمیاں ۔ سر گرمیوں۔۔ 
       8.0       10.0 --         سرگرمیاں 
       3.0        3.0 --         سری لنکا 
       4.0        6.0 --         سزا 
       2.0        3.0 --         سستا 
       2.0        3.0 --         سستی 
      10.0       10.0 --         سستی بجلی 
      13.0       16.0 --         سستے دام ،داموں 
       3.0        3.0 --         سسسر 
       4.0        5.0 --         سسکیاں 
      30.0       34.0 --         سطح 
      21.0       18.0 --         سطح مرتفع 
      21.0       17.0 --         سطع مرتفع 
      15.0       17.0 --         سفارت خانہ 
      15.0       17.0 --         سفارتخانہ 
       8.0       11.0 --         سفارش 
       7.0        8.0 --         سفاکانہ 
       9.0       15.0 --         سفر 
       4.0        6.0 --         سفید 
       8.0       11.0 --         سفید کرنا 
      19.0       18.0 --         سلائی کڑھائی 
      11.0       11.0 --         سلامتی کونسل 
      21.0       18.0 --         سلطنت فارس 
       3.0        3.0 --         سلوک 
      16.0       18.0 --         سماجی تفریق 
       8.0        9.0 --         سمجھدار 
       8.0        9.0 --         سمجھوتہ 
