      male     female
       0.0        0.0 -- دهها
       0.0        0.0 -- دو تا جیپ دیدم.‏
       0.0        0.0 -- دو و میدانی
       0.0        0.0 -- دوام
       0.0        0.0 -- دوجانبه
       0.0        0.0 -- دوساعت.‏
       0.0        0.0 -- دوستانه
       0.0        0.0 -- دولت
       0.0        0.0 -- دژبانا تعیین می کنن که پست بازرسی کجا باشه.‏
       0.0        0.0 -- دیدی، که یه بم دستی کار گذاشته شد؟
       0.0        0.0 -- دیروز
       0.0        0.0 -- دیشب، طرف غروب.‏
       0.0        0.0 -- دینت چیه؟
       0.0        0.0 -- دیگه ام دارین؟
       0.0        0.0 -- دیگه ام میخواین؟
       0.0        0.0 -- ذخیره;ذخایر
       0.0        0.0 -- ذکر کردن
       0.0        0.0 -- رابطه;روابط
       0.0        0.0 -- راحت باش.‏
       0.0        0.0 -- رادیولوژی
       0.0        0.0 -- راضی کردن
       0.0        0.0 -- راه یافتن به
       0.0        0.0 -- رتبت چیه؟
       0.0        0.0 -- رخ دادن
       0.0        0.0 -- رسم; رسما; رسمی
       0.0        0.0 -- رشد; رشد کردن; رشد جمعیت; رشید
       0.0        0.0 -- رشوه
       0.0        0.0 -- رضایت داشتن از
       0.0        0.0 -- رضایت; اظهار رضایت کردن
       0.0        0.0 -- رعد و برق
       0.0        0.0 -- رفاه;رفاهی
       0.0        0.0 -- رقم ارقام
       0.0        0.0 -- رهبرت کیه؟
       0.0        0.0 -- روانی
       0.0        0.0 -- روبرو شدن; روبرو بودن
       0.0        0.0 -- رکود; در حال رکود
       0.0        0.0 -- ریاست
       0.0        0.0 -- ریشه; ریشه دار
       0.0        0.0 -- ریه
       0.0        0.0 -- زاییدن; زايمان كردن; زايمان
       0.0        0.0 -- زحمتی نیس.‏
       0.0        0.0 -- زخمی شدی؟
       0.0        0.0 -- زمامداری
       0.0        0.0 -- زمین; زمین نشستن به
       0.0        0.0 -- زن و بچه همراهشان بودن.‏
       0.0        0.0 -- زنم چار ماهه حامله اس.‏
       0.0        0.0 -- زود باش!‏
       0.0        0.0 -- زیرا
       0.0        0.0 -- زیربنا
       0.0        0.0 -- زیست‌محیطی
       0.0        0.0 -- ساخت; ساختاری
       0.0        0.0 -- ساعت چند وقت ملاقات دارین؟
       0.0        0.0 -- ساعت چنده؟
       0.0        0.0 -- ساعت یکه.‏
       0.0        0.0 -- ساعت ۱۰ وقت ملاقات دارم.‏
       0.0        0.0 -- سالخورده
       0.0        0.0 -- سایر دیگر
       0.0        0.0 -- سخت کوش
       0.0        0.0 -- سخن; سخنگو;سخن ‌گفتن
       0.0        0.0 -- سر چراغ راهنما دست چپ بپیچ.‏
       0.0        0.0 -- سر چهارراه دیگه دست راس بپیچ.‏
       0.0        0.0 -- سر کار.‏
       0.0        0.0 -- سر گیجه داری؟
       0.0        0.0 -- سربازا سلاحهايي سربازا سلاحهايي و که برا حفاظت خونه به کار ميره ضبط نمی کنن اگه صابخونه پيش از اينکه ما سلاحها رو کشف کنیم اونا رو به ما نشون بده.‏
       0.0        0.0 -- سربازان، شما کی هسین‏؟
       0.0        0.0 -- سربازای آمریکایی می خوان منطقه را بازرسی کنن.‏
       0.0        0.0 -- سرتو جم نده.‏
       0.0        0.0 -- سرزمین; سرزمینهای اشغالی
       0.0        0.0 -- سرسام آور
       0.0        0.0 -- سرشماری
       0.0        0.0 -- سرشناس
       0.0        0.0 -- سرعتو رعایت کن.‏
       0.0        0.0 -- سرقت
       0.0        0.0 -- سرمایه گذاری کردن
       0.0        0.0 -- سرنخ
       0.0        0.0 -- سرپرست
       0.0        0.0 -- سعی می کنیم دیگه آزارت ندیم.‏
       0.0        0.0 -- سعی میکنیم با یه نفر از گروه تون تماس بگیریم.‏
       0.0        0.0 -- سعی کردن
       0.0        0.0 -- سعی کن سئوالهای منو با بله یا نه جواب بدی.‏
       0.0        0.0 -- سفیر; سفارت
       0.0        0.0 -- سلاح ها کجان؟
       0.0        0.0 -- سلاح کمری تو خالی کن.‏
       0.0        0.0 -- سلاحتو بنداز!‏
       0.0        0.0 -- سلام.‏
       0.0        0.0 -- سلام، ما سربازای آمريکايی هسیم و می خوايم اتومبيل و خودتو بازرسی کنيم.‏
       0.0        0.0 -- سلام، من یه سرباز آمريکایی هسم.‏
       0.0        0.0 -- سلسله; سلسله مراتب
       0.0        0.0 -- سلطه
       0.0        0.0 -- سلول; سلول‌‌های انفرادی
       0.0        0.0 -- سمت
       0.0        0.0 -- سنگین
       0.0        0.0 -- سنین
       0.0        0.0 -- سوای
       0.0        0.0 -- سوختن; سوختگی; دچار سوختگی شدید گردید
       0.0        0.0 -- سود
       0.0        0.0 -- سوداگران
       0.0        0.0 -- سپری کردن وقت
       0.0        0.0 -- سکنه; ساکن; سکون
       0.0        0.0 -- سیاست خارجی
       0.0        0.0 -- سیاست; سياسی; سياسيون
       0.0        0.0 -- سینه
       0.0        0.0 -- سیگار میکشی؟
       0.0        0.0 -- شاعران، شعرا
       0.0        0.0 -- شان;شئون
       0.0        0.0 -- شاید.‏
       0.0        0.0 -- شبانه ‌روز
       0.0        0.0 -- شتم
       0.0        0.0 -- شدید; شدت; به شدت
       0.0        0.0 -- شرق
       0.0        0.0 -- شغلت چیه؟
       0.0        0.0 -- شلیک نکن!‏
       0.0        0.0 -- شلیک کردن
       0.0        0.0 -- شما ___ دارین؟
       0.0        0.0 -- شما رو بلند می کنم.‏
       0.0        0.0 -- شما نفر بعد هسی.‏
       0.0        0.0 -- شما کی هستین؟
       0.0        0.0 -- شمال
       0.0        0.0 -- شمسی
       0.0        0.0 -- شواهد; شاهد
       0.0        0.0 -- شورشیا رو در کجا دیدی؟
       0.0        0.0 -- شورشیان رو در کوه دیدم.‏
       0.0        0.0 -- شکایت; شکایت کردن داشتن
       0.0        0.0 -- شکل دادن; شکل گرفتن
       0.0        0.0 -- شی; اشیا
       0.0        0.0 -- شیب این تپه چقدره؟
       0.0        0.0 -- شیطانی
       0.0        0.0 -- شیعیان
       0.0        0.0 -- صاحب این ماشین کیه؟
       0.0        0.0 -- صبح بخیر.‏
       0.0        0.0 -- صبح زود بود.‏
       0.0        0.0 -- صبر کن.‏ الان دکتر تو رو می بینه.‏
       0.0        0.0 -- صحنه
       0.0        0.0 -- صدور; صادر کردن
       0.0        0.0 -- صراحت; به صراحت
       0.0        0.0 -- صرفه جویی کردن
       0.0        0.0 -- صعود کردن; صعودی
       0.0        0.0 -- صف بکشین.‏
       0.0        0.0 -- صلح
       0.0        0.0 -- صندوق
       0.0        0.0 -- صندوق عقبو باز کن.‏
       0.0        0.0 -- ضرب و شتم; مورد ضرب و شتم قرار دادن گرفتن
       0.0        0.0 -- ضمیمه شدن
       0.0        0.0 -- طبق خطوط شاخص ارتفاع شیب زیاده.‏
       0.0        0.0 -- طبقه بندی
       0.0        0.0 -- طراحی
       0.0        0.0 -- طرح ; طرح کردن
       0.0        0.0 -- طرف; از طرف دیگر
       0.0        0.0 -- طریق; از طریق
       0.0        0.0 -- طولانی
       0.0        0.0 -- طی
       0.0        0.0 -- ظاهراً
       0.0        0.0 -- ظرف ظروف; ظروف يکبار مصرف
       0.0        0.0 -- ظرفيت مخزن سوخت چقدره؟
       0.0        0.0 -- عاری از
       0.0        0.0 -- عازم بودن شدن
       0.0        0.0 -- عالیرتبه
       0.0        0.0 -- عاید شدن;کردن
       0.0        0.0 -- عبور; عبور کردن
       0.0        0.0 -- عدالت; بی عدالتی
       0.0        0.0 -- عدم; عدم مداخله
       0.0        0.0 -- عربی حرف می زدن.‏
       0.0        0.0 -- عروسک
       0.0        0.0 -- عزیمت کردن
       0.0        0.0 -- عصربخیر.‏
       0.0        0.0 -- عضو القاعده اند.‏
       0.0        0.0 -- عضو جهاد اسلامی فلسطین اند.‏
       0.0        0.0 -- عقب وایسا!‏
       0.0        0.0 -- عقیده
       0.0        0.0 -- علائم راهنمایی و رعایت کن.‏
       0.0        0.0 -- علامت که داده شد آتش کن.‏
       0.0        0.0 -- علت قطع برق چی بود؟
       0.0        0.0 -- علما
       0.0        0.0 -- عمر; یک عمر
       0.0        0.0 -- عمق آبراه چقدره؟
       0.0        0.0 -- عمق اون دره چقدره؟
       0.0        0.0 -- عمق دره تقریباً ٥٠٠ متره.‏
       0.0        0.0 -- عمق;عمیق
       0.0        0.0 -- عمقش ۵;۳ متره.‏
       0.0        0.0 -- عملیات نظامی کی شروع شده؟
       0.0        0.0 -- عوض کردن; عوض شدن
       0.0        0.0 -- عید; عید فطر
       0.0        0.0 -- غارت کردن
       0.0        0.0 -- غرامت
       0.0        0.0 -- غرب
       0.0        0.0 -- غنی شدن
       0.0        0.0 -- غنیمت
       0.0        0.0 -- غیر متعهد
       0.0        0.0 -- غیر مجاز
       0.0        0.0 -- غیرقابل کنترل
       0.0        0.0 -- فارسی حرف می زنم.‏
       0.0        0.0 -- فارغ التحصیلی;فارغ التحصیل شدن
       0.0        0.0 -- فامیل تون چطورن؟
       0.0        0.0 -- فامیلت چیه؟
       0.0        0.0 -- فامیلم خوب ان متشکرم.‏
       0.0        0.0 -- فراز; بر فراز
       0.0        0.0 -- فراوان
       0.0        0.0 -- فرد ; افراد
       0.0        0.0 -- فردا
       0.0        0.0 -- فردا می بینمتون.‏
       0.0        0.0 -- فرودگاه کجاس؟
       0.0        0.0 -- فساد
       0.0        0.0 -- فشار خون داری؟
       0.0        0.0 -- فشنگ خور رو نشونم بده.‏
       0.0        0.0 -- فعالیتهای شورشیان در این منطقه زیاد شده.‏
       0.0        0.0 -- فعالیتهای چریکی رو بپا.‏
       0.0        0.0 -- فعلآ خیابونا امن نیس.‏
       0.0        0.0 -- فعلاً مشغولم.‏
       0.0        0.0 -- فقط در یک جهت حرکت کنین.‏
       0.0        0.0 -- فقط همینو دارم.‏
       0.0        0.0 -- فقط ١٠ کيلومتر دیگه.‏
       0.0        0.0 -- فقه; فقه اسلامی
       0.0        0.0 -- فولاد
       0.0        0.0 -- قابل ملاحظه
       0.0        0.0 -- قاتل قتل
       0.0        0.0 -- قادر بودن
       0.0        0.0 -- قالب
       0.0        0.0 -- قانون; قانون کار; قانونی
       0.0        0.0 -- قاچاق; قاچاقچیان
       0.0        0.0 -- قدرت; قدرت خرید
       0.0        0.0 -- قرار است
       0.0        0.0 -- قراضه; آهن قراضه
       0.0        0.0 -- قربانیان
       0.0        0.0 -- قصد داشتن
       0.0        0.0 -- قضایی
       0.0        0.0 -- قطب نما کدام جهت رو نشون میده؟
       0.0        0.0 -- قطعنامه
       0.0        0.0 -- قطعی; قطعی کردن
       0.0        0.0 -- قمری
       0.0        0.0 -- لازم به زحمت نبود.‏
       0.0        0.0 -- لباس خشک کن
       0.0        0.0 -- لجند فهرست علامت های روی نقشه است.‏
       0.0        0.0 -- لطفآ بگذار رد شم.‏
       0.0        0.0 -- لطفآ کمکم کنین!‏
       0.0        0.0 -- لطفاً آهسته حرف بزن.‏
       0.0        0.0 -- لطفاً اجازه بدین خودروهای نظامی رد شن.‏
       0.0        0.0 -- لطفاً از ماشین بیا پائین.‏
       0.0        0.0 -- لطفاً اونو به من بدین.‏
       0.0        0.0 -- لطفاً این را قبول کنین، مال شماس.‏
       0.0        0.0 -- لطفاً توجه داشته باشين که اگه سربازا تهديد بشن فوراً از خودشون دفاع می کنن.‏
       0.0        0.0 -- لطفاً خونه تون رو برا بازرسی حاضر کنين.‏
       0.0        0.0 -- لطفاً راه بده.‏
       0.0        0.0 -- لطفاً صبر کن تا با بازجوای ارتش تماس بگيرم.‏
       0.0        0.0 -- لطفاً منتظر بمون.‏
       0.0        0.0 -- لطفاً یک لحظه صبر کنین.‏
       0.0        0.0 -- لطفاٌ تکرار کن.‏
       0.0        0.0 -- لطفًاً به محل بازرسی بدنی برو.‏
       0.0        0.0 -- ما آب خوردن لازم داریم.‏
       0.0        0.0 -- ما اجازه نميديم هيچکس بدون کارت شناسائی معتبر رد بشه.‏
       0.0        0.0 -- ما از پولا و اشیای قیمتی تون حفاظت می کنیم.‏
       0.0        0.0 -- ما اينجا نيامديم کسی رو اذيت کنيم.‏
       0.0        0.0 -- ما با اسرای جنگی و زندانيای غير نظامی دشمن طبق کنوانسيون ژنو رفتار می کنيم.‏
       0.0        0.0 -- ما برا جمع آوری اطلاعات نظامی این بازپرسی رو انجام می دیم.‏
       0.0        0.0 -- ما به هر گونه حمله عکس العمل نشون می دیم.‏
       0.0        0.0 -- ما به وضع اسرای جنگی دشمن رسيدگی می کنيم.‏
       0.0        0.0 -- ما به یه تعمیرکار احتیاج داريم.‏
       0.0        0.0 -- ما در این منطقه پست های بازرسی دایر خواهیم کرد.‏
       0.0        0.0 -- ما دنبال این مرد میگردیم.‏
       0.0        0.0 -- ما دنبال مواد بم سازی هسیم.‏
       0.0        0.0 -- ما می خواهيم سلاحهای غيرقانونی رو مصادره کنيم.‏
       0.0        0.0 -- ما نظامیای آمریکایی هسیم.‏
       0.0        0.0 -- ما نیروی ائتلاف هستیم.‏
       0.0        0.0 -- ما واسه کمک به ايرونيا اومديم.‏
       0.0        0.0 -- ما چرا توقف کرديم؟
       0.0        0.0 -- مابقی; بقیه; باقیمانده
       0.0        0.0 -- ماجرا
       0.0        0.0 -- ماشینتو بازرسی میکنیم.‏
       0.0        0.0 -- ماشینتو بیار اینجا.‏
       0.0        0.0 -- ماشینتو سروته کن.‏
       0.0        0.0 -- ماشینها رو بزنین کنار.‏
       0.0        0.0 -- ماشینو نگردار.‏
       0.0        0.0 -- مال من نیسن.‏
       0.0        0.0 -- ماموریت واحد تون چیه؟
       0.0        0.0 -- مانور;مانور نظامی
       0.0        0.0 -- مایل بودن
       0.0        0.0 -- مبارز; مبارزین
       0.0        0.0 -- مبارزه با
       0.0        0.0 -- مبارک
       0.0        0.0 -- مبتلا به
       0.0        0.0 -- متأسفم حالا کاری برات نداريم.‏
       0.0        0.0 -- مترجم داره میاد.‏
       0.0        0.0 -- مترجم کجاس؟
       0.0        0.0 -- متشکرم.‏ حالا آزادی که بری.‏
       0.0        0.0 -- متشکرم، نون و کباب بسیار خوب بود.‏
       0.0        0.0 -- متعال
       0.0        0.0 -- متقابل; عمل متقابل; به عمل متقابل دست زدن
       0.0        0.0 -- متوجه شدن
       0.0        0.0 -- مثبت
       0.0        0.0 -- مجاز; غیرمجاز
       0.0        0.0 -- مجازات; مجازات کردن; مجازات اعدام
       0.0        0.0 -- مجردم.‏
       0.0        0.0 -- مجمع عمومی
       0.0        0.0 -- محافظه کار
       0.0        0.0 -- محتوا; محتویات
       0.0        0.0 -- محدود; محدود کردن
       0.0        0.0 -- محصول ات
       0.0        0.0 -- محل تولدت کجاس؟
       0.0        0.0 -- محل سوخت گیری وجود داره؟
       0.0        0.0 -- محموله
       0.0        0.0 -- محموله ات چیه؟
       0.0        0.0 -- محکوم; محکوم کردن
       0.0        0.0 -- محیط زیست
       0.0        0.0 -- مخابرات
       0.0        0.0 -- مختصر
       0.0        0.0 -- مخدوش کردن
       0.0        0.0 -- مخزن
       0.0        0.0 -- مدعی شدن; ادعا کردن
       0.0        0.0 -- مدید
       0.0        0.0 -- مدیر; مدیر عامل;مدیر کل
       0.0        0.0 -- مذاکره;مذاکرات
       0.0        0.0 -- مذهب شون چیه؟
       0.0        0.0 -- مراجعه کردن به
       0.0        0.0 -- مراسم
       0.0        0.0 -- مراقب مواد منفجره باش.‏
       0.0        0.0 -- مراقبت
       0.0        0.0 -- مرتفع کردن
       0.0        0.0 -- مردهای مسلح به طرف غرب می رفتن.‏
       0.0        0.0 -- مردهای مسلح به کدوم طرف می رفتن؟
       0.0        0.0 -- مرز; به مرز;  مرزبان
       0.0        0.0 -- مرسی.‏
       0.0        0.0 -- مرض قند داری؟
       0.0        0.0 -- مرور کردن; مرورگر
       0.0        0.0 -- مرکز; مرکزی; مرکز شهر
       0.0        0.0 -- مرگ
       0.0        0.0 -- مریخ
       0.0        0.0 -- مسئوليت
       0.0        0.0 -- مساعد; زمینه مساعد
       0.0        0.0 -- مسافتش چقدره؟
       0.0        0.0 -- مستقر استقرار
       0.0        0.0 -- مستقل استقلال
       0.0        0.0 -- مستقیم ادامه بده.‏
       0.0        0.0 -- مسجد تهران‏
       0.0        0.0 -- مسلمان.‏
       0.0        0.0 -- مشاهده کردن; شاهد
       0.0        0.0 -- مشاور
       0.0        0.0 -- مشهد تقریباً ۹۰۰ کیلومتر با تهران فاصله داره.‏
       0.0        0.0 -- مشهد نزدیک تهرانه؟
       0.0        0.0 -- مشکوک; مشکوک شدن
       0.0        0.0 -- مصالح; مصالحه
       0.0        0.0 -- مضمون ; مضامین
       0.0        0.0 -- مطبوعات; کنفرانس مطبوعاتی
       0.0        0.0 -- مطلب;مطالب
       0.0        0.0 -- مطمئن اید؟
       0.0        0.0 -- معاهده
       0.0        0.0 -- معتبراعتبار
       0.0        0.0 -- معترض ین، ان
       0.0        0.0 -- معذرت میخوام.‏
       0.0        0.0 -- معرض; در معرض خطربودن
       0.0        0.0 -- معرفی;معرفی کردنشدن
       0.0        0.0 -- معلوم; معلوم نیست
       0.0        0.0 -- معمول; معمولی
       0.0        0.0 -- معنا; این بدین معناست . . .;این به این معنی نیست که
       0.0        0.0 -- معنوی
       0.0        0.0 -- معنی این علامت راهنمائی چیه؟
       0.0        0.0 -- مغازه
       0.0        0.0 -- مقام رهبری
       0.0        0.0 -- مقامات
       0.0        0.0 -- مقر
       0.0        0.0 -- مقرر شدن
       0.0        0.0 -- مقصد
       0.0        0.0 -- مقصدت کجاس؟
       0.0        0.0 -- مقیم; مقیم بودن
       0.0        0.0 -- ملاقات کردن; ملاقات
       0.0        0.0 -- ملکه
       0.0        0.0 -- ملیتت چیه؟
       0.0        0.0 -- ممنوع; ممنوع الخروج
       0.0        0.0 -- ممکن; تا حد ممکن
       0.0        0.0 -- ممکنه این منطقه مین گذاری شده باشه.‏
       0.0        0.0 -- ممکنه رد شم؟
       0.0        0.0 -- من افسرم.‏
       0.0        0.0 -- من انگلیسی حرف نمیزنم.‏
       0.0        0.0 -- من اهل اینحا نیستم.‏
       0.0        0.0 -- من اینو ضبط میکنم.‏
       0.0        0.0 -- من باید همه چیزهاتو بازرسی کنم.‏
       0.0        0.0 -- من برچسب هویت زندانیمو گم کردم.‏
       0.0        0.0 -- من به شما رضایت میدم.‏
       0.0        0.0 -- من در آن واحد فقط می تونم يه نفر و بازرسی کنم.‏
       0.0        0.0 -- من درست به اندازه پول نقد احتیاج دارم.‏
       0.0        0.0 -- من سربازم.‏
       0.0        0.0 -- من صاحب این ماشینم.‏
       0.0        0.0 -- من فارسی حرف نمیزنم.‏
       0.0        0.0 -- من نمی فهمم.‏
       0.0        0.0 -- من هیچ زخمی ندیدم.‏
       0.0        0.0 -- من هیچ شخصی ندیدم.‏
       0.0        0.0 -- من هیچ پول ایرانی ندارم.‏
       0.0        0.0 -- من چندین وانت بار دیدم.‏
       0.0        0.0 -- من کمک پزشکی احتیاج دارم.‏
       0.0        0.0 -- من گروهبان هستم.‏
       0.0        0.0 -- من یه برچسب هویت زندانی به شما میزنم.‏
       0.0        0.0 -- من یه خودروی زرهی دیدم.‏
       0.0        0.0 -- من یه دکترم.‏
       0.0        0.0 -- من یه مترجم لازم دارم.‏
       0.0        0.0 -- منازعه
       0.0        0.0 -- مناسبات; مناسبت; به مناسبت
       0.0        0.0 -- منبع;منابع
       0.0        0.0 -- منجر شدن
       0.0        0.0 -- منطقه رو تخلیه کنین!‏
       0.0        0.0 -- منظور; به منظور
       0.0        0.0 -- منع کردن
       0.0        0.0 -- منفجر شدن
       0.0        0.0 -- منم، ازملاقات تون خوشوقتم.‏
       0.0        0.0 -- منو چرا گرفتین؟
       0.0        0.0 -- مهاجم;مهاجمان
       0.0        0.0 -- مهدور الدم
       0.0        0.0 -- مهره
       0.0        0.0 -- مهمات داری؟
       0.0        0.0 -- مهمات منفجر نشده رو در نزدیک یک دهکده دیدم.‏
       0.0        0.0 -- مهمات منفجر نشده رو در کجا دیدی؟
       0.0        0.0 -- مهمان نوازی
       0.0        0.0 -- مهندس; مهندسی
       0.0        0.0 -- مواجه شدن بودن
       0.0        0.0 -- مواد; مواد اوليه
       0.0        0.0 -- موازنه
       0.0        0.0 -- مواظب تک تیراندازها باش.‏
       0.0        0.0 -- موثر
       0.0        0.0 -- مورد توجه بودن
       0.0        0.0 -- موزه
       0.0        0.0 -- موسوم به
       0.0        0.0 -- موظب باش!‏
       0.0        0.0 -- موفق; موفقيت‌آميز; موفق شدن
       0.0        0.0 -- ميانگين; به طور ميانگين
       0.0        0.0 -- می تونم سیگار بکشم؟
       0.0        0.0 -- می تونی رو نقشه نشونم بدی؟
       0.0        0.0 -- می تونیم از راه دیگه ایی بریم؟
       0.0        0.0 -- می رفتم واحدمو ببینم.‏
       0.0        0.0 -- میتونم اینجا دور بزنم؟
       0.0        0.0 -- میتونم به این دست بزنم؟
       0.0        0.0 -- میتونم یه تلفون کنم؟
       0.0        0.0 -- میتونی حرکت کنی؟
       0.0        0.0 -- میتونی منو به بیمارستان ببری؟
       0.0        0.0 -- میتونی نگرش داری.‏
       0.0        0.0 -- میدان ميادين; ميدان نفتی
       0.0        0.0 -- میدونی در کجایی؟
       0.0        0.0 -- میزان; به میزان
       0.0        0.0 -- میفهمی که این عمل برات لازمه؟
       0.0        0.0 -- میفهمی؟
       0.0        0.0 -- میهن; میهنی
       0.0        0.0 -- ناتوان; ناتوان کننده
       0.0        0.0 -- ناخواسته
       0.0        0.0 -- نارنجک رو پرت کن.‏
       0.0        0.0 -- ناو; ناوگان
       0.0        0.0 -- ناچیز
       0.0        0.0 -- نترس.‏
       0.0        0.0 -- نرم; نرم شدن
       0.0        0.0 -- نزديکترين محل سوخت گیری به اینجا ٢٠ کيلومتره.‏
       0.0        0.0 -- نزدیک این جاده میدون مین هس؟
       0.0        0.0 -- نزدیک این مسير رودخونه هس؟
       0.0        0.0 -- نزدیک ده یک میدان مینه.‏
       0.0        0.0 -- نزدیک پایگاه.‏
       0.0        0.0 -- نزدیکترین هتل کدومه؟
       0.0        0.0 -- نزیک نیا!‏
       0.0        0.0 -- نسل; نسل کشی
       0.0        0.0 -- نشریه
       0.0        0.0 -- نشست; بر زمین نشستن
       0.0        0.0 -- نشونم بده کجات درد میکنه.‏
       0.0        0.0 -- نشونم بده.‏
       0.0        0.0 -- نصب کردن
       0.0        0.0 -- نطق
       0.0        0.0 -- نظارت.‏
       0.0        0.0 -- نظریه; در نظر گرفتن; مورد نظر
       0.0        0.0 -- نظم; نظام; نظامی
       0.0        0.0 -- نقشه این منطقه رو داری؟
       0.0        0.0 -- نقطه نظرات
       0.0        0.0 -- نمایشنامه
       0.0        0.0 -- نمی تونم بگم.‏
       0.0        0.0 -- نمی خوام حرف بزنم.‏
       0.0        0.0 -- نمیتونم فامیلمو تنها بذارم!‏
       0.0        0.0 -- نمیدونم در کجام.‏
       0.0        0.0 -- نمیدونم.‏
       0.0        0.0 -- نه متشکرم، خیلی خورده ام.‏
       0.0        0.0 -- نه.‏
       0.0        0.0 -- نه، اون غلطه.‏
       0.0        0.0 -- نه، این جاده خطرناکه.‏
       0.0        0.0 -- نه، این خیابون یه طرفه اس.‏
       0.0        0.0 -- نه، براحتی نفس میکشم.‏
       0.0        0.0 -- نه، لطفاً نیاین تو.‏
       0.0        0.0 -- نه، متشکرم.‏
       0.0        0.0 -- نهایی; نهایتا ً;در نهایت
       0.0        0.0 -- نوازنده
       0.0        0.0 -- نوجوان ان
       0.0        0.0 -- نگران
       0.0        0.0 -- نیز هم، همچنین
       0.0        0.0 -- نیم ساعت از سه گذشته.‏
       0.0        0.0 -- نیم; نیمه اول; نیمه رسمی
       0.0        0.0 -- هتل هما‏
       0.0        0.0 -- هجری سال
       0.0        0.0 -- هجوم
       0.0        0.0 -- هدف رو مشخص کن.‏
       0.0        0.0 -- هدف پست بازرسی ما بالا بردن امنیته.‏
       0.0        0.0 -- هر چه میگم انجام بده.‏
       0.0        0.0 -- هرگز
       0.0        0.0 -- هرگز او را ندیده ام.‏
       0.0        0.0 -- هزارتومان.‏
       0.0        0.0 -- هشدار
       0.0        0.0 -- هشدار دادن
       0.0        0.0 -- هفته دیگه دوباره سر بزن.‏
       0.0        0.0 -- هل نده!‏ غذا زياد داريم.‏
       0.0        0.0 -- هلاک کردن
       0.0        0.0 -- همجواری
       0.0        0.0 -- همرای خودشون آر پی جی داشتن.‏
       0.0        0.0 -- همه بیرون برین.‏
       0.0        0.0 -- همه ساکت باشین!‏
       0.0        0.0 -- همچنین
       0.0        0.0 -- همینو می دونم.‏
       0.0        0.0 -- هنوز هم ادامه داره؟
       0.0        0.0 -- هنگام; هنگامی که
       0.0        0.0 -- هواپيماهای دشمنو بپا.‏
       0.0        0.0 -- هکتار
       0.0        0.0 -- هیچ افسری در اونجا بود؟
       0.0        0.0 -- هیچ جور کارت شناسایی ندارم.‏
       0.0        0.0 -- هیچ کسی رو ندیدی؟
       0.0        0.0 -- هیچگونه برگ شناسایی داری؟
       0.0        0.0 -- هیچی رو پشت بوم داری؟
       0.0        0.0 -- واحد
       0.0        0.0 -- واحد دشمنو تشریح کن.‏
       0.0        0.0 -- واحدت کجاس؟
       0.0        0.0 -- واحدم مستفیم اون جلوس.‏
       0.0        0.0 -- واحدهای دشمن در این منطقه هسن؟
       0.0        0.0 -- وارد شدن
       0.0        0.0 -- وارد کردن; وارده
       0.0        0.0 -- واقع در
       0.0        0.0 -- واقعی; واقعیت بخشیدن
       0.0        0.0 -- وحشت; وحشناک
       0.0        0.0 -- وخيم; وخيم شدن
       0.0        0.0 -- ورأ
       0.0        0.0 -- ورود ممنوعه، برگرد.‏
       0.0        0.0 -- وزارت کار و امور اجتماعی
       0.0        0.0 -- وزن مجاز این پل چقدره؟
       0.0        0.0 -- وزنت چقدره؟
       0.0        0.0 -- وزنم هفتاد و دو کیلو گرمه.‏
       0.0        0.0 -- وسايل وسیله; وسايل نقليه
       0.0        0.0 -- وسایل نقلیه به طرف شرق می رفتن.‏
       0.0        0.0 -- وسایل نقلیه به کدام طرف می رفتن؟
       0.0        0.0 -- وسایل نقلیه چقدر تند میرفتن؟
       0.0        0.0 -- وسایل نقلیه چه رنگی بودن؟
       0.0        0.0 -- وسعت
       0.0        0.0 -- وضع; وضعیت; اوضاع p
       0.0        0.0 -- وضعیت زمین چطوره؟
       0.0        0.0 -- وفق دادن
       0.0        0.0 -- وقت ملاقات دارین؟
       0.0        0.0 -- وقتیکه من اونجا رو ترک کردم، هنوزهم ادامه داشت.‏
       0.0        0.0 -- وکلا وکیل; وکلای مدافع
       0.0        0.0 -- ١٠ تن.‏
       0.0        0.0 -- ١٠ ساعت رانندگیه.‏
       0.0        0.0 -- ١٠ کيلو متر دورتره.‏
       0.0        0.0 -- ١٠٠ متر دورتره.‏
       0.0        0.0 -- پاسدار ان
       0.0        0.0 -- پاسپورت داری؟
       0.0        0.0 -- پاشو!‏
       0.0        0.0 -- پایان;پایان دادن;پایان یافتن گرفتن;به پایان رسیدن
       0.0        0.0 -- پر از; پر کردن
       0.0        0.0 -- پرداخت کردن پرداز، می پردازند
       0.0        0.0 -- پرستار کجاس؟
       0.0        0.0 -- پریروز
       0.0        0.0 -- پزشک
       0.0        0.0 -- پس دادن، پس گرفتن
       0.0        0.0 -- پستهای بازرسی دیگه ایی هم هس؟
       0.0        0.0 -- پل
       0.0        0.0 -- پناه
       0.0        0.0 -- پناه بردن
       0.0        0.0 -- پناهنده ایی؟
       0.0        0.0 -- پنج تا انگشت می بینم.‏
       0.0        0.0 -- پهلوی کلانتری.‏
       0.0        0.0 -- پوشش زرهی
       0.0        0.0 -- پول خورد داری؟
       0.0        0.0 -- پوک; پوکی استخوان
       0.0        0.0 -- پژوهش; پژوهشگر
       0.0        0.0 -- پیرامون
