nl0001_ams, مرحبا۔ 
nl0515_ams, شو نوع المعدات اللي كانت عندُن؟ 
nl0516_lms, كان عندُن متفجرات كتيرة۔ 
nl0517_lms, كان في معُن آر بي  جي۔ 
nl0518_ams, شو كان نوع وعيار الأسلحة؟ 
nl0519_ams, كانت أسلحة نيران مباشرة متل بارودة أو بازوكة؟ 
nl0520_ams, كانت أسلحة نيران غير مباشرة متل هاون أو مدفع؟ 
nl0521_lms, كان عندُن بنادق آلية۔ 
nl0522_ams, كان السلاح محطوط على مسند ثلاثي؟ 
nl0523_ams, شو نوع السيارات اللي كانت عندُن؟ 
nl0524_lms, شفت سيارة مدرّعة۔ 
nl0525_lms, شفت عدد من الشاحنات۔ 
nl0526_ams, شو نوع العدّة اللي كانت معُن؟ 
nl0527_lms, كان في شناطي عَ ضهرُن۔ 
nl0528_ams, هالسيارة كانت عسكرية ولاّ مدنية؟ 
nl0529_lms, كانت سيارة مدنية۔ 
nl0530_ams, حاول انّك تجاوب على أسئلتي ب "اي" أو "لأ"۔ 
nl0531_ams, شد عَ إيدي مرّة إزا بدك تؤول "اي" ومرتين إزا بدك تؤول "لأ"۔ 
nl0532_ams, أنا دكتور۔ 
nl0533_ams, وين الممرضة؟ 
nl0534_lms, !ساعدني إزا بتريد 
nl0535_ams, انتزر. الدكتور راح يشوفك  فوراً۔ 
nl0536_ams, بتعرف وين انتِ؟ 
nl0537_lms, ما بعرف وين أنا۔ 
nl0538_ams, انتِ منيح؟ 
nl0539_ams, كم اصبع عم بتشوف؟ 
nl0540_lms, عم شوف خمس أصابع۔ 
nl0541_ams, اوول اسمك بصوت عالي۔ 
nl0542_ams, فتاح عيونك۔ 
nl0543_ams, انتِ موجوع شي؟ 
nl0544_lms, اي، راسي عم يوجعني۔ 
nl0545_lms, شبَني؟ 
nl0546_ams, انت منصاب۔ 
nl0547_ams, انت انحرأت حرء كبير۔ 
nl0548_ams, عمِل اللي بئلّك عليه۔ 
nl0549_ams, استرخي۔ 
nl0550_ams, خلّي راسك سابت۔ 
nl0551_ams, لازم ننئلك من هون۔ 
nl0552_ams, تسطّح وخلّيك سابت۔ 
nl0553_ams, حاسس بدوخة؟ 
nl0554_lms, اي، عمّا حس بدوخة۔ 
nl0555_ams, عندك صعوبة بالتنفس؟ 
nl0556_lms, لأ، بئدر اتنفس منيح۔ 
nl0557_ams, هادا راح يساعد على حمايتك۔ 
nl0558_lms, شو عم تعطيني؟ 
nl0559_ams, هالدوا للوجع۔ 
nl0560_ams, انت منصاب؟ 
nl0561_lms, اي، اجري عم توجعني۔ 
nl0562_ams, هادا عم يوجّع؟ 
nl0563_ams, أشّر عليه۔ 
nl0564_ams, فيك تتحرك؟ 
nl0565_ams, فيك تحس بهاي؟ 
nl0566_ams, راح نحاول ما نوجعك أكتر۔ 
nl0567_ams, ورجيني وين عم يوجعك۔ 
nl0568_ams, رأبتك عم توجعك؟ 
nl0569_lms, رأبتي منيحة۔ 
nl0570_ams, نحنا لازم نرَبطك مشان نضمن سلامتك۔ 
nl0571_ams, امسِك هالشاشة واضغط عليا۔ 
nl0572_ams, لازم نحط خشبة على دراعك۔ 
nl0573_lms, شو عم تعمل؟ 
nl0574_ams, أنا عم حط شاشة مشان وئّف النزيف۔ 
nl0575_ams, عندك حساسية من أي دوا؟ 
nl0576_ams, شو الدوا اللي بيعملّك حساسية؟ 
nl0577_lms, ماعندي أي حساسية۔ 
nl0578_lms, عندي حساسية من البنسلين۔ 
nl0579_ams, بتدخّن؟ 
nl0580_ams, معك ضغط دم عالي؟ 
nl0581_ams, معك مرض السكّري؟ 
nl0582_ams, بتشرب كحول؟ 
nl0583_ams, أديش وزنك؟ 
nl0584_lms, وزني تنين وسبعين كيلوغرام (٧٢ كغ)۔ 
nl0585_ams, عامل شي عمليات؟ 
nl0586_ams, شو الأدوية اللي عم تاخدا؟ 
nl0587_ams, مرتك حامل؟ 
nl0588_lms, مرتي حامل بالشهرالرابع۔ 
nl0589_ams, بتتعاطى مخدّرات؟ 
nl0590_ams, خلّينا نساعدك۔ 
nl0591_ams, أنا لازم نضّفلك جروحاتك۔ 
nl0592_ams, لازم نفحصك بدقّة۔ 
nl0593_ams, بتوافئ على عملية نأل الدم؟ 
nl0594_ams, في جندية راح تجي بعد شوَي۔ 
nl0595_ams, لازم نشلحك تيابك۔ 
nl0596_ams, أنا راح شيلك۔ 
nl0597_ams, بتعرف انّو لازملك عملية؟ 
nl0598_ams, بدنا موافأتك مشان نعملّك العملية۔ 
nl0599_lms, أنا موافئ۔ 
nl0600_lms, ليش لازمني عملية؟ 
nl0601_ams, إزا ما عملنا العملية، يمكن تموت۔ 
nl0602_ams, إزا ما عملنا العملية، ممكن تخسر هاي۔ 
nl0603_lms, مين راح يخبّر عيلتي؟ 
nl0604_ams, نحنا راح نحاول نتصل بحدا من مجموعتك۔ 
nl0605_ams, عندك خريطة؟ 
nl0606_lms, لأي اتجاه عم بتأشر البوصلة؟ 
nl0607_ams, شمال۔ 
nl0608_ams, جنوب۔ 
nl0609_ams, غرب۔ 
nl0610_ams, شرق۔ 
nl0611_ams, أدّيش ارتفاع هالتل؟ 
nl0612_lms, هالتل ارتفاعو تأريباً خمسة وعشرين متر(٢٥م )۔ 
nl0613_ams, أدّيش انحدار هداك التل؟ 
nl0614_lms, بناءً على خط المناسيب كتير منحدر۔ 
nl0615_ams, أديشو غميء هداك الوادي؟ 
nl0616_lms, الوادي تأريباَ خمسمية (٥٠٠) متر غميء۔ 
nl0617_ams, خطوط المناسيب بتورجي الارتفاع۔ 
nl0618_ams, الخطوط العمودية بتورجي خطوط الطول۔ 
nl0619_ams, الخطوط الأفقية بتورجي خطوط العرض۔ 
nl0620_ams, لائحة التفاسير هية الرموز المستخدمة على الخريطة۔ 
nl0621_ams, شو اسم هالضيعة؟ 
nl0622_lms, هالضيعة اسما الكفرون۔ 
nl0623_ams, شو هالمدينة؟ 
nl0624_lms, هَي مدينة حلب۔ 
nl0625_lms, هادا سد الرستن۔ 
nl0626_ams, شو هالمطار؟ 
nl0627_lms, هادا مطار دمشق الدولي۔ 
nl0628_lms, هَي تمديدات عسكرية۔ 
nl0629_lms, هالخط هادا هوّة طريء۔ 
nl0630_lms, هالخط بيمسّل الحدود مع لبنان۔ 
nl0631_lms, هالمنطئة ممكن تكون ملوّسة بالألغام۔ 
nl0632_ams, هاي قاعدة عسكرية أميركية۔ 
nl0633_ams, هادا مطار۔ 
nl0634_ams, هادا مخيّم اللاجئين۔ 
nl0635_ams, شو اسم البحيرة؟ 
nl0636_lms, هديك بحيرة تشرين۔ 
nl0637_ams, كيف شكلا التضاريس؟ 
nl0638_lms, التضاريس هون كتير وعرة۔ 
nl0639_ams, شو اسمو هداك الوادي؟ 
nl0640_lms, هادا وادي العيون۔ 
nl0641_ams, أيّا نهر هداك؟ 
nl0642_lms, هادا نهر بردى۔ 
nl0643_ams, شو اسمو هداك الجبل؟ 
nl0644_lms, هداك جبل قاسيون۔ 
nl0645_lms, هديك سلسلة جبال القلمون۔ 
nl0646_lms, هدول بحيرات۔ 
nl0647_lms, هَي غابة۔ 
nl0648_lms, هَي صحرا۔ 
nl0649_lms, هدول كهوف۔ 
nl0650_ams, بتعرف كيف تئرا الخريطة؟ 
nl0651_lms, أنا بعرف ائرا الخريطة۔ 
nl0652_ams, شو موقعك؟ 
nl0653_lms, موقعي هوّة ٣٣ درجة و٣٠ دئيئة شمال و٣٦ درجة و١٧ دئيئة شرء۔ 
nl0654_ams, أدّيش بتبعد حلب عن دمشق؟ 
nl0655_lms, المسافة من دمشق لحلب حوالي تلاتمية وخمسة وخمسين (٣٥٥) كيلومتر۔ 
nl0656_ams, في طريء تاني مشان الواحد يروح من دمشق لحلب؟ 
nl0657_lms, دمشق هيّة جنوب حلب۔ 
nl0658_lms, جنوب من۔۔۔ 
nl0659_lms, غرب من۔۔۔ 
nl0660_lms, شرء من ۔۔۔ 
nl0661_lms, شمال من ۔۔۔ 
nl0662_ams, أدّيش ارتفاع دمشق عن سطح البحر؟ 
nl0663_lms, ارتفاع دمشق ستمية وتمانين متر (٦٨٠) عن سطح البحر۔ 
nl0664_ams, وين هيّة عالخريطة؟ 
nl0665_ams, أدّيشا جديدة هالخريطة؟ 
nl0666_lms, هالخريطة معمولة سنة ألف وتسعمية وخمسة وتمانين (١٩٨٥)۔ 
nl0667_ams, شو نوعا هالخريطة؟ 
nl0668_lms, هَي خريطة المدينة۔ 
nl0669_ams, بتئدر تورجيني الطرييء عالخريطة؟ 
nl0670_lms, الطرييء انهد السنة الماضية۔ 
nl0671_ams, مين ساكن بهالمنطئة؟ 
nl0672_lms, خلّينا نتطلّع على خريطة العشاير۔ 
nl0673_ams, خريطة القمر الصناعي أي مدينة بتورجي؟ 
nl0674_lms, خريطة القمر الصناعي بتورجي دمشق۔ 
nl0675_ams, لائي احداسيّاتك باستعمال خطوط الطول وخطوط العرض۔ 
nl0676_lms, شو بيعني هالرمز؟ 
nl0677_ams, وين بالتحديد موقع العدو؟ 
nl0678_ams, في وحدات للعدو بهالمنطئة؟ 
nl0679_ams, في طريئة لتجنب هالحاجز؟ 
nl0680_ams, !نزِل 
nl0681_ams, !نزِل عالأرض 
nl0682_ams, !خليك ورا 
nl0683_ams, !رجَع لورا 
nl0684_ams, !خليك برّة 
nl0685_ams, !انتبه 
nl0686_ams, !خليك بحدود هالمنطئة 
nl0687_ams, دير بالك من طيارات العدو۔ 
nl0688_ams, دير بالك من نشاطات حرب العصابات۔ 
nl0689_ams, !احترس 
nl0690_ams, نزل عالأرض وفضّي سلاحك۔ 
nl0691_ams, الشوارع مانا أمينة هلأ۔ 
nl0692_ams, راح نرد على أي هجوم۔ 
nl0693_ams, لو تأدّمت أكتر، الجنود الأمريكان راح يئتلوك۔ 
nl0694_ams, دير بالك، الجنود الامريكان ما راح يترددوا انُن يدافعو عن نفسُن إزا تهدّدوا۔ 
nl0695_ams, !لا تفوت 
nl0696_lms, كيف لازم فوت؟ 
nl0697_ams, دور من هنيك۔ 
nl0698_ams, عندك موعد؟ 
nl0699_ams, مين بدك تآبل؟ 
nl0700_ams, أي ساعة الموعد تبعك؟ 
nl0701_lms, موعدي الساعة عشرة۔ 
nl0702_ams, رجاءً استنى لبين ما اتصل بالمحققين العسكريين۔ 
nl0703_ams, انا لازم فتشك أبل ما تفوت عالمعسكر۔ 
nl0704_ams, أنا بئدر فتّش بس شخص واحد كل مرّة۔ 
nl0705_ams, انتِ جاي مشان تبلّغ عن جريمة؟ 
nl0706_ams, رجاءً روح لمركز الشرطة لتبلّغ عن الجرائم المحلية۔ 
nl0707_lms, أنا عم دوّر عَ شغل۔ 
nl0708_ams, انا آسف مافي أشغال بهالوأت۔ 
nl0709_ams, رجاءً راجعنا كمان مرّة  بعد أسبوع۔ 
nl0710_ams, هاي منطئة مسدودة۔ 
nl0711_ams, هاي منطئة آمنة۔ 
nl0712_lms, من فضلك خلّيني أمرؤ۔ 
nl0713_ams, ارجع، الدَخلة ممنوعة۔ 
nl0714_ams, هاي منطئة معزولة۔ 
nl0715_ams, !خلّيك بعيد 
nl0716_ams, !وئّف 
nl0717_ams, !طلَعوا برّة كلكُن 
nl0718_ams, !اخلو المنطقة 
nl0719_lms, !مابئدر اترك عيلتي وروح 
nl0720_ams, !استعجل 
nl0721_ams, !لا حدا يتحرك 
nl0722_ams, لا تدَفشوا! في أكل كتير۔ 
nl0723_lms, بئدر خبرّ؟ 
nl0724_ams, ممنوع استعمال الموبايل۔ 
nl0725_ams, نضّف مسدسك۔ 
nl0726_ams, عبّي بارودتك۔ 
nl0727_ams, حط المخزن بالـ م-١٦ تبعك۔ 
nl0728_ams, ورجيني فجوة الطلقة۔ 
nl0729_ams, رمي القنبلة اليدوية۔ 
nl0730_ams, شيل صمّام الأمان و حلقة الأمان۔ 
nl0731_ams, حدّد هدفك۔ 
nl0732_ams, شيل جفتك۔ 
nl0733_ams, استعمل الهاون الخفيف لأنّو قصير المدى وعبوتو صغيرة۔ 
nl0734_ams, استعمل مؤشّر باروتك۔ 
nl0735_ams, !لقّم سلاحك 
nl0736_ams, حضّر الآر بي جي تبعك۔ 
nl0737_ams, !أطلق النار 
nl0738_ams, ارمي لما بيجيك الأمر۔ 
nl0739_ams, وئّف اطلاق النار۔ 
nl0740_ams, نحنا عم ندّور عالأسلحة اللي عم تستعمل ضد القوات الوطنية والتحالف۔ 
nl0741_ams, نحنا عم ندّور على مواد لتصنيع القنابل۔ 
nl0742_ams, نحنا عم نفتّش لنصادر كل الأسلحة الغير قانونية۔ 
nl0743_ams, وين الاسلحة؟ 
nl0744_ams, عندك أسلحة؟ 
nl0745_ams, وين مخزّنة الأسلحة؟ 
nl0746_lms, الأسلحة مخزونة بالبيوت۔ 
nl0747_ams, شايل معك أسلحة؟ 
nl0748_lms, عندي رشاش مشان دافع فيه عن نفسي۔ 
nl0749_ams, في أي متفجرات بالمنطقة؟ 
nl0750_lms, في حقل ألغام أريب من الضيعة۔ 
nl0751_ams, شفت عبوة ناسفة؟ 
nl0752_ams, لاحزت إزا كان في عبوة ناسفة/ قنبلة مزروعة؟ 
nl0753_ams, شو نوع الأسلحة؟ 
nl0754_ams, جيب أسلحتك لهون۔ 
